table,period,surface,surface_label,amazon_family,accounts,new_signup_accounts,reactivated_accounts,base_accounts,share_of_base_pct,share_of_cohort_pct,new_share_pct,reactivated_share_pct,pre_180d_accounts,pre_180d_share_of_cohort_pct,lift_pp,additivity,note,window,unit,cohort_accounts,panel
pre_180d_overlap,pre_180d,fresh_or_whole_foods_digital,Amazon Fresh or Whole Foods digital,grocery,1173,187,986,22764,5.1529,5.1529,2.1063,7.1007,,,,overlap. do not add,Digital grocery only. In-store Whole Foods is out.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,amazon_pharmacy,Amazon Pharmacy,health,403,89,314,22764,1.7703,1.7703,1.0025,2.2613,,,,overlap. do not add,Small digital health door. Residual on reactivated.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,zappos,Zappos,retail,1571,547,1024,22764,6.9012,6.9012,6.1613,7.3743,,,,overlap. do not add,Amazon-owned footwear. Female-skewed title audience.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,twitch,Twitch,gaming,486,174,312,22764,2.1349,2.1349,1.9599,2.2469,,,,overlap. do not add,Title audience under-indexes. Gaming sit below the store.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,prime_gaming,Prime Gaming,gaming,211,43,168,22764,0.9269,0.9269,0.4843,1.2099,,,,overlap. do not add,Perk is dark without a live membership.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,alexa_app,Alexa app,devices,3354,713,2641,22764,14.7338,14.7338,8.0311,19.0192,,,,overlap. do not add,Hardware stays in the house after Prime lapses.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,ring_or_blink_app,Ring or Blink app,devices,1434,241,1193,22764,6.2994,6.2994,2.7146,8.5914,,,,overlap. do not add,Owned devices keep pinging after the membership dies.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,amazon_photos,Amazon Photos,devices,1708,167,1541,22764,7.5031,7.5031,1.8811,11.0975,,,,overlap. do not add,Unlimited photo storage is a remembered Prime perk on the lapse side.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,prime_pricing_or_account,Prime pricing or account page,account,7476,3629,3847,22764,32.8413,32.8413,40.8763,27.7042,,,,overlap. do not add,They opened the pricing or account page and had not yet converted.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,fire_tv_launcher,Fire TV launcher,devices,4061,1247,2814,22764,17.8396,17.8396,14.0460,20.2650,,,,overlap. do not add,Fire TV home without a Prime Video play. Other apps sat on the device.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,subscribe_and_save,Subscribe and Save,retail,1643,214,1429,22764,7.2175,7.2175,2.4105,10.2909,,,,overlap. do not add,Paused or leftover Subscribe and Save on the lapse side.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,another_prime_video_title,Another Prime Video title,video,0,0,0,22764,0.0000,0.0000,0.0000,0.0000,,,,overlap. do not add,Zero by definition. No Prime Video in the 180 days.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,prime_video_any_title,"Prime Video, any title",video,0,0,0,22764,0.0000,0.0000,0.0000,0.0000,,,,overlap. do not add,Zero by definition. First Prime Video play is Gilmore Girls.,180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,any_amazon_owned_except_prime_video,Any Amazon-owned digital surface except Prime Video,union,21333,8147,13186,22764,93.7138,93.7138,91.7662,94.9590,,,,overlap. do not add,"Union. Do not add the rows above. 1,431 accounts had no Amazon-owned digital surface in the 180 days.",180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
pre_180d_overlap,pre_180d,any_amazon_owned_checkout,Any Amazon-owned checkout,union,11386,3817,7569,22764,50.0176,50.0176,42.9939,54.5081,,,,overlap. do not add,"Union of retail, Kindle, Audible, Fresh or Whole Foods digital, and Pharmacy.",180 days before first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,amazon_retail_session,amazon.com or the Amazon app,retail,17033,6847,10186,22764,74.8243,74.8243,77.1232,73.3545,,,,overlap. do not add,30-day incidence against a 180-day pre. New accounts rise. They had a cart waiting for free shipping.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,amazon_retail_order,amazon.com completed retail order,retail,9827,4186,5641,22764,43.1690,43.1690,47.1503,40.6236,,,,overlap. do not add,Higher 30-day order rate than the open-ended 29.1% on the larger lapsed-or-new viewer file. This cut paid for the membership.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,amazon_music,Amazon Music,audio,6015,2186,3829,22764,26.4233,26.4233,24.6227,27.5745,,,,overlap. do not add,Bundle unlock. Prime Music is live on day one.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,audible,Audible,audio,3576,1429,2147,22764,15.7090,15.7090,16.0960,15.4616,,,,overlap. do not add,Trial credits ride with the new or restored membership.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,kindle_or_books,Kindle or Amazon Books,reading,6054,2413,3641,22764,26.5946,26.5946,27.1795,26.2207,,,,overlap. do not add,First Reads plus Gilmore-adjacent books while the title is on.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,goodreads,Goodreads,reading,3855,1541,2314,22764,16.9346,16.9346,17.3575,16.6643,,,,overlap. do not add,Reading lists while they binge. Modest lift.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,imdb,IMDb,video,6464,2847,3617,22764,28.3957,28.3957,32.0680,26.0478,,,,overlap. do not add,"Second-screen cast and recap. Research job was the pre window, so IMDb falls.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,fresh_or_whole_foods_digital,Amazon Fresh or Whole Foods digital,grocery,2207,721,1486,22764,9.6951,9.6951,8.1212,10.7014,,,,overlap. do not add,Digital grocery only. 30 days is short for a habit. Membership unlocks the door.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,amazon_pharmacy,Amazon Pharmacy,health,581,193,388,22764,2.5523,2.5523,2.1739,2.7942,,,,overlap. do not add,Small lift with the membership.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,zappos,Zappos,retail,1815,641,1174,22764,7.9731,7.9731,7.2201,8.4546,,,,overlap. do not add,Prime shipping on Zappos.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,twitch,Twitch,gaming,491,173,318,22764,2.1569,2.1569,1.9486,2.2901,,,,overlap. do not add,Stays in the long tail. Title audience is not a Twitch audience.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,prime_gaming,Prime Gaming,gaming,661,247,414,22764,2.9037,2.9037,2.7822,2.9814,,,,overlap. do not add,One-time loot click after the membership restores.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,alexa_app,Alexa app,devices,3816,987,2829,22764,16.7633,16.7633,11.1174,20.3730,,,,overlap. do not add,They reconnect Alexa to Prime Music.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,ring_or_blink_app,Ring or Blink app,devices,1528,267,1261,22764,6.7124,6.7124,3.0074,9.0811,,,,overlap. do not add,Cloud trial and app open after the membership restores.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,amazon_photos,Amazon Photos,devices,3603,1174,2429,22764,15.8276,15.8276,13.2237,17.4924,,,,overlap. do not add,Unlimited photo storage is the perk they remember.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,prime_pricing_or_account,Prime pricing or account page,account,21888,8647,13241,22764,96.1518,96.1518,97.3981,95.3550,,,,overlap. do not add,Account or billing session around the acquire or reactivate event.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,fire_tv_launcher,Fire TV launcher,devices,6333,2147,4186,22764,27.8202,27.8202,24.1834,30.1455,,,,overlap. do not add,Fire TV home now has a Prime Video reason.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,subscribe_and_save,Subscribe and Save,retail,2062,421,1641,22764,9.0582,9.0582,4.7421,11.8177,,,,overlap. do not add,They turn leftover Subscribe and Save back on.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,another_prime_video_title,Another Prime Video title,video,10031,3618,6413,22764,44.0652,44.0652,40.7524,46.1832,,,,overlap. do not add,Under the 76.6% open-ended read on the larger lapsed-or-new file. This cut is inside a Gilmore Girls binge.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,prime_video_any_title,"Prime Video, any title",video,22764,8878,13886,22764,100.0000,100.0000,100.0000,100.0000,,,,overlap. do not add,"The qualifying play. 22,764 by definition.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,any_amazon_owned_except_prime_video,Any Amazon-owned digital surface except Prime Video,union,21661,8413,13248,22764,95.1546,95.1546,94.7623,95.4054,,,,overlap. do not add,Union. Second Amazon-owned surface inside 30 days. Do not add the rows above.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
post_30d_overlap,post_30d,any_amazon_owned_checkout,Any Amazon-owned checkout,union,10828,4641,6187,22764,47.5663,47.5663,52.2753,44.5557,,,,overlap. do not add,"Union of a completed retail order, Kindle purchase or borrow, Audible title, Fresh or Whole Foods digital order, or Amazon Pharmacy.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,prime_video_any_title,"Prime Video, any title",video,22764,8878,13886,22764,100.0000,100.0000,100.0000,100.0000,0,0.0000,100.0000,compare. pre columns ride on the same row,Pre 0 (0.0000%). Post 22764 (100.0000%). Lift +100.0000 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,another_prime_video_title,Another Prime Video title,video,10031,3618,6413,22764,44.0652,44.0652,40.7524,46.1832,0,0.0000,44.0652,compare. pre columns ride on the same row,Pre 0 (0.0000%). Post 10031 (44.0652%). Lift +44.0652 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,amazon_retail_session,amazon.com or the Amazon app,retail,17033,6847,10186,22764,74.8243,74.8243,77.1232,73.3545,18827,82.7051,-7.8808,compare. pre columns ride on the same row,Pre 18827 (82.7051%). Post 17033 (74.8243%). Lift -7.8808 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,amazon_retail_order,amazon.com completed retail order,retail,9827,4186,5641,22764,43.1690,43.1690,47.1503,40.6236,11054,48.5591,-5.3901,compare. pre columns ride on the same row,Pre 11054 (48.5591%). Post 9827 (43.1690%). Lift -5.3901 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,amazon_music,Amazon Music,audio,6015,2186,3829,22764,26.4233,26.4233,24.6227,27.5745,3101,13.6224,12.8009,compare. pre columns ride on the same row,Pre 3101 (13.6224%). Post 6015 (26.4233%). Lift +12.8009 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,audible,Audible,audio,3576,1429,2147,22764,15.7090,15.7090,16.0960,15.4616,1661,7.2966,8.4124,compare. pre columns ride on the same row,Pre 1661 (7.2966%). Post 3576 (15.7090%). Lift +8.4124 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,kindle_or_books,Kindle or Amazon Books,reading,6054,2413,3641,22764,26.5946,26.5946,27.1795,26.2207,4427,19.4474,7.1472,compare. pre columns ride on the same row,Pre 4427 (19.4474%). Post 6054 (26.5946%). Lift +7.1472 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,goodreads,Goodreads,reading,3855,1541,2314,22764,16.9346,16.9346,17.3575,16.6643,3599,15.8101,1.1245,compare. pre columns ride on the same row,Pre 3599 (15.8101%). Post 3855 (16.9346%). Lift +1.1245 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,imdb,IMDb,video,6464,2847,3617,22764,28.3957,28.3957,32.0680,26.0478,7615,33.4519,-5.0562,compare. pre columns ride on the same row,Pre 7615 (33.4519%). Post 6464 (28.3957%). Lift -5.0562 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,fresh_or_whole_foods_digital,Amazon Fresh or Whole Foods digital,grocery,2207,721,1486,22764,9.6951,9.6951,8.1212,10.7014,1173,5.1529,4.5422,compare. pre columns ride on the same row,Pre 1173 (5.1529%). Post 2207 (9.6951%). Lift +4.5422 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,amazon_pharmacy,Amazon Pharmacy,health,581,193,388,22764,2.5523,2.5523,2.1739,2.7942,403,1.7703,0.7820,compare. pre columns ride on the same row,Pre 403 (1.7703%). Post 581 (2.5523%). Lift +0.7820 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,zappos,Zappos,retail,1815,641,1174,22764,7.9731,7.9731,7.2201,8.4546,1571,6.9012,1.0719,compare. pre columns ride on the same row,Pre 1571 (6.9012%). Post 1815 (7.9731%). Lift +1.0719 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,amazon_photos,Amazon Photos,devices,3603,1174,2429,22764,15.8276,15.8276,13.2237,17.4924,1708,7.5031,8.3245,compare. pre columns ride on the same row,Pre 1708 (7.5031%). Post 3603 (15.8276%). Lift +8.3245 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,alexa_app,Alexa app,devices,3816,987,2829,22764,16.7633,16.7633,11.1174,20.3730,3354,14.7338,2.0295,compare. pre columns ride on the same row,Pre 3354 (14.7338%). Post 3816 (16.7633%). Lift +2.0295 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,ring_or_blink_app,Ring or Blink app,devices,1528,267,1261,22764,6.7124,6.7124,3.0074,9.0811,1434,6.2994,0.4130,compare. pre columns ride on the same row,Pre 1434 (6.2994%). Post 1528 (6.7124%). Lift +0.4130 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,fire_tv_launcher,Fire TV launcher,devices,6333,2147,4186,22764,27.8202,27.8202,24.1834,30.1455,4061,17.8396,9.9806,compare. pre columns ride on the same row,Pre 4061 (17.8396%). Post 6333 (27.8202%). Lift +9.9806 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,subscribe_and_save,Subscribe and Save,retail,2062,421,1641,22764,9.0582,9.0582,4.7421,11.8177,1643,7.2175,1.8407,compare. pre columns ride on the same row,Pre 1643 (7.2175%). Post 2062 (9.0582%). Lift +1.8407 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,prime_pricing_or_account,Prime pricing or account page,account,21888,8647,13241,22764,96.1518,96.1518,97.3981,95.3550,7476,32.8413,63.3105,compare. pre columns ride on the same row,Pre 7476 (32.8413%). Post 21888 (96.1518%). Lift +63.3105 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,twitch,Twitch,gaming,491,173,318,22764,2.1569,2.1569,1.9486,2.2901,486,2.1349,0.0220,compare. pre columns ride on the same row,Pre 486 (2.1349%). Post 491 (2.1569%). Lift +0.0220 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,prime_gaming,Prime Gaming,gaming,661,247,414,22764,2.9037,2.9037,2.7822,2.9814,211,0.9269,1.9768,compare. pre columns ride on the same row,Pre 211 (0.9269%). Post 661 (2.9037%). Lift +1.9768 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,any_amazon_owned_except_prime_video,Any Amazon-owned digital surface except Prime Video,union,21661,8413,13248,22764,95.1546,95.1546,94.7623,95.4054,21333,93.7138,1.4408,compare. pre columns ride on the same row,Pre 21333 (93.7138%). Post 21661 (95.1546%). Lift +1.4408 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
flywheel_compare,pre_180d_vs_post_30d,any_amazon_owned_checkout,Any Amazon-owned checkout,union,10828,4641,6187,22764,47.5663,47.5663,52.2753,44.5557,11386,50.0176,-2.4513,compare. pre columns ride on the same row,Pre 11386 (50.0176%). Post 10828 (47.5663%). Lift -2.4513 pp. Windows are 180 days vs 30 days.,180 days before first Gilmore Girls Prime Video play vs 30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_touch,event,google_where_to_watch_then_prime,"Google, where to watch, then Prime",path,7186,4187,2999,22764,31.5674,31.5674,47.1615,21.5973,,,,partitions cohort,Netflix left June 30. They typed the title and landed on Prime.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
