Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
The Addams Family 2,No,,21500000,1:34,13700000
The Mitchells vs. The Machines,Yes,2021-04-30,25700000,1:54,13500000
Overboard (2018),No,,25500000,1:53,13500000
Kung Fu Panda 4,No,,21200000,1:34,13500000
Noah (2014),No,,30700000,2:17,13400000
Woody Woodpecker Goes to Camp,Yes,2024-04-12,22300000,1:40,13400000
Saving Bikini Bottom: The Sandy Cheeks Movie,Yes,2024-08-02,19300000,1:27,13300000
To All the Boys I’ve Loved Before,Yes,2018-08-17,22000000,1:40,13200000
Fifty Shades of Grey,No,,27200000,2:05,13100000
Trap House (2025),No,,22300000,1:42,13100000
Nobody 2,No,,19500000,1:29,13100000
Extraction 2,Yes,2023-06-16,26900000,2:04,13000000
Norbit,No,,22200000,1:43,12900000
It Ends With Us,No,,28000000,2:11,12800000
40 Acres,No,,24100000,1:53,12800000
Sweet Home Alabama (2002),No,,23300000,1:49,12800000
Kung Fu Panda 2,No,,19900000,1:33,12800000
Sisu (2022),No,,19300000,1:31,12700000
The Emoji Movie,No,,18400000,1:27,12700000
Husbands in Action // 남편들,Yes,2026-06-19,22900000,1:49,12600000
Madea’s Destination Wedding,Yes,2025-07-11,21900000,1:44,12600000
No Hard Feelings (2023),No,,21800000,1:44,12600000
Shrek Forever After,No,,20000000,1:35,12600000
Sing: Thriller,Yes,2024-10-16,2500000,0:12,12500000
Twisters,No,,25100000,2:02,12300000
Stolen Baby: The Murder of Heidi Broussard,No,,17800000,1:27,12300000
Prometheus (2012),No,,25300000,2:04,12200000
Double Jeopardy (1999),No,,21500000,1:46,12200000
The Killer (2024),No,,25300000,2:05,12100000
The Perfect Neighbor,Yes,2025-10-17,20000000,1:39,12100000
The SpongeBob Movie: Sponge on the Run,No,2020-11-05,19100000,1:35,12100000
The Secret Life of Pets 2,No,,17300000,1:26,12100000
Minions & More Volume 2,Yes,,10700000,0:53,12100000
KARTAVYA // कर्तव्य,Yes,2026-05-15,21800000,1:49,12000000
Spectre (2015),No,,29300000,2:28,11900000
Creed III,No,,23300000,1:57,11900000
David (2025),No,,21700000,1:49,11900000
De De Pyaar De 2 // दे दे प्यार दे 2,No,,28700000,2:26,11800000
Spenser Confidential,Yes,2020-03-06,21900000,1:51,11800000
Train Dreams,Yes,2025-11-21,20400000,1:44,11800000
One Last Adventure: The Making of Stranger Things 5,Yes,2026-01-12,23900000,2:03,11700000
Wish Dragon,Yes,2021-06-11,20000000,1:43,11700000
The Mother,Yes,2023-05-12,22700000,1:57,11600000
Hierarchy (2025),No,,19200000,1:40,11500000
Homefront (2013),No,,19100000,1:40,11500000
Minions & More Volume 1,Yes,,9400000,0:49,11500000
Bhooth Bangla,No,,31000000,2:43,11400000
Man on Fire (2004),No,,27800000,2:26,11400000
Freelance (2023),No,,20700000,1:49,11400000
Suitcase Killer: The Melanie McGuire Story,No,,16500000,1:27,11400000
Dr. Seuss' The Cat in the Hat,No,,15600000,1:22,11400000
Warcraft,No,,23100000,2:03,11300000
Damsel,Yes,2024-03-08,20700000,1:50,11300000
What Happens in Vegas,No,,18600000,1:39,11300000
Fall for Me,Yes,2025-08-21,19600000,1:45,11200000
Matilda (1996),No,,18100000,1:38,11100000
Spirit: Stallion of the Cimarron,No,,15500000,1:24,11100000
The Wild Robot,No,,18700000,1:42,11000000
Je m’appelle Agneta,Yes,2026-04-29,20700000,1:54,10900000
Pitch Perfect,No,,20300000,1:52,10900000
The Gray Man,Yes,2022-07-22,22900000,2:09,10700000
The Thursday Murder Club,Yes,2025-08-28,21300000,2:00,10700000
Fall (2022),No,,19000000,1:47,10700000
Trolls Band Together,No,,16400000,1:32,10700000
M3GAN 2.0,No,,21100000,2:00,10600000
Bad Boys: Ride or Die,No,,20500000,1:56,10600000
Clifford the Big Red Dog (2021),No,,17200000,1:37,10600000
The SpongeBob Movie: Sponge Out of Water,No,,16900000,1:36,10600000
The World Will Tremble,No,,19100000,1:49,10500000
The Old Guard 2,Yes,2025-07-02,18700000,1:47,10500000
The Adventures of Sharkboy and Lavagirl,No,,16200000,1:33,10500000
YES DAY,Yes,2021-03-12,15800000,1:30,10500000
Kraven the Hunter,No,,22100000,2:07,10400000
The Life List,Yes,2025-03-28,21500000,2:05,10300000
Fifty Shades Freed,No,,18000000,1:45,10300000
Fifty Shades Darker,No,,20000000,1:58,10200000
365 Days (2020),Yes,,19600000,1:55,10200000
Karate Kid: Legends,No,,16000000,1:34,10200000
Gaslit By My Husband: The Morgan Metzer Story,No,,15000000,1:28,10200000
The Wrong Paris,Yes,2025-09-12,18100000,1:47,10100000
Troll 2,Yes,2025-12-01,17600000,1:45,10100000
The Creator,No,,22300000,2:14,10000000
6 Underground,Yes,2019-12-13,21600000,2:09,10000000
Godzilla x Kong: The New Empire,No,,19100000,1:55,10000000
My Oxford Year,Yes,2025-08-01,18900000,1:53,10000000
Nuremberg (2025),No,,24500000,2:29,9900000
The Croods,No,,16200000,1:38,9900000
Jurassic World: Dominion,No,,24000000,2:27,9800000
Purple Hearts,Yes,2022-07-29,20500000,2:05,9800000
Enola Holmes,Yes,2020-09-23,20200000,2:04,9800000
IF (2024),No,,16900000,1:44,9800000
Cleaner (2007),No,,14600000,1:29,9800000
Street Flow 3 // Banlieusards 3,Yes,2026-03-04,18200000,1:52,9700000
Feel the Beat,Yes,2020-06-19,17700000,1:50,9700000
Speak No Evil (2024),No,,17700000,1:50,9700000
Caramelo,Yes,2025-10-08,16300000,1:41,9700000
A Perfect Getaway,No,,15700000,1:37,9700000
Maa Behen // मां बहन,Yes,2026-06-04,20400000,2:08,9600000
Black and Blue (2019),No,,17300000,1:48,9600000
The Garfield Movie,No,,16100000,1:41,9600000
Barnyard,No,,14400000,1:30,9600000
Triple Frontier,Yes,2019-03-13,19900000,2:06,9500000
96 Minutes // 96分鐘 // 96 分钟,Yes,,19000000,2:00,9500000
28 Years Later: The Bone Temple,No,,17300000,1:49,9500000
The Adam Project,Yes,2022-03-11,17000000,1:47,9500000
Champagne Problems,Yes,2025-11-19,15600000,1:39,9500000
Yoh! Bestie,Yes,2026-02-06,15200000,1:36,9500000
Twilight (2008),No,,19100000,2:02,9400000
Extraction,Yes,2020-04-24,18500000,1:58,9400000
Venom: The Last Dance,No,,17100000,1:49,9400000
The Kissing Booth,Yes,2018-05-11,16600000,1:46,9400000
Spy Kids: Armageddon,Yes,2023-09-22,15400000,1:38,9400000
Buen Camino,Yes,,14300000,1:31,9400000
Let Him Go,No,,17700000,1:54,9300000
The Lego Movie,No,,15600000,1:41,9300000
Going in Style (2017),No,,14900000,1:36,9300000
Madagascar 3: Europe's Most Wanted,No,,14800000,1:36,9300000
Toaster // टोस्टर,Yes,2026-04-15,19300000,2:06,9200000
Outside the Wire,Yes,2021-01-15,17700000,1:56,9200000
Pitch Perfect 2,No,,17600000,1:55,9200000
Street Kings,No,,16700000,1:49,9200000
Cloudy with a Chance of Meatballs (2009),No,,13800000,1:30,9200000
Counterattack // Contraataque,Yes,2025-02-28,13000000,1:25,9200000
The Union,Yes,2024-08-16,16500000,1:49,9100000
Vivo,Yes,2021-08-06,15200000,1:40,9100000
Jennifer's Body,No,,15500000,1:43,9000000
The Giant Falls // El último gigante,Yes,2026-04-01,15300000,1:42,9000000
The Angry Birds Movie,No,,14700000,1:38,9000000
Border 2 // बॉर्डर 2,Yes,,29900000,3:22,8900000
Kara (2026),No,,23500000,2:39,8900000
Murder Mystery,Yes,2019-06-14,14400000,1:38,8800000
K.O.,Yes,2025-06-06,12700000,1:27,8800000
A Royal Winter,No,,12300000,1:24,8800000
Casino Royale (2006),No,,21000000,2:25,8700000
Leave the World Behind,Yes,2023-12-08,20700000,2:22,8700000
Rebel Ridge,Yes,2024-09-06,19200000,2:12,8700000
Shooter (2007),No,,18200000,2:05,8700000
The Book of Life (2014),No,,14100000,1:37,8700000
Exterritorial,Yes,2025-04-30,15600000,1:49,8600000
Pixels (2015),No,,15200000,1:46,8600000
Skyfall,No,,20200000,2:23,8500000
The Electric State,Yes,2025-03-14,18100000,2:08,8500000
Roald Dahl's Matilda The Musical,No,2022-12-25,17300000,2:02,8500000
Me Time,Yes,2022-08-26,14800000,1:44,8500000
Rumble (2021),No,,13500000,1:35,8500000
The Little Things (2021),No,,17900000,2:08,8400000
No Good Deed (2014),No,,11700000,1:24,8400000
Enola Holmes 2,Yes,2022-11-04,18200000,2:11,8300000
Sicario: Day of the Soldado,No,,16800000,2:02,8300000
In Her Shoes,No,,18000000,2:11,8200000
Mowgli: Legend of the Jungle,No,2018-12-07,14300000,1:45,8200000
Flipped (2010),No,,12300000,1:30,8200000
Trust (2025),No,,12300000,1:30,8200000
SUZUKI=BAKUDAN // 爆弾,No,,18500000,2:17,8100000
Love Untangled // 고백의 역사,Yes,2025-08-29,16400000,2:01,8100000
Goodbye June,Yes,2025-12-24,15700000,1:56,8100000
The Proposal (2009),No,,14500000,1:47,8100000
Chicken Run: Dawn of the Nugget,Yes,2023-12-15,13800000,1:42,8100000
Turbo (2013),No,,12900000,1:36,8100000
Alvin and the Chipmunks: Chipwrecked,No,,11700000,1:27,8100000
Catch Me If You Can (2002),No,,19000000,2:22,8000000
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,18900000,2:21,8000000
Shrek the Third,No,,12700000,1:35,8000000
Independence Day (1996),No,,19000000,2:25,7900000
Soul on Fire,No,,14800000,1:52,7900000
A Time For Bravery // La hora de los valientes,Yes,2025-12-19,14000000,1:47,7900000
To All the Boys: P.S. I Still Love You,Yes,2020-02-12,13500000,1:42,7900000
I Am Legend (2007),No,,13100000,1:40,7900000
American Gangster (2007),No,,20300000,2:37,7800000
The Fall Guy (2024),No,,16400000,2:06,7800000
Identity Thief,No,,14500000,1:51,7800000
Guess Who (2005),No,,13800000,1:46,7800000
Sisu: Road to Revenge,No,,11500000,1:29,7800000
Awake (2007),No,,10900000,1:24,7800000
Barbie Dolphin Magic,No,,8300000,1:04,7800000
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",No,,6200000,0:48,7800000
Cosmic Princess Kaguya! // 超かぐや姫！,Yes,2026-01-22,18300000,2:22,7700000
Creed (2015),No,,17100000,2:14,7700000
Pavane // 파반느,Yes,2026-02-20,14600000,1:54,7700000
Knights of the Zodiac (2023),No,,14300000,1:52,7700000
Four Brothers,No,,13900000,1:49,7700000
Lift,Yes,2024-01-12,13700000,1:47,7700000
Extraction (2013),No,,13600000,1:46,7700000
The Twits,Yes,2025-10-17,13300000,1:43,7700000
53 Sundays // 53 domingos,Yes,2026-03-27,10200000,1:19,7700000
Dhurandhar The Revenge (Raw & Undekha) // धुरंधर द रिवेंज,No,,29500000,3:52,7600000
Don't Look Up,Yes,2021-12-24,18100000,2:23,7600000
Spider-Man: Far from Home,No,,16500000,2:10,7600000
A Widow's Game // La viuda negra,Yes,2025-05-30,15500000,2:02,7600000
Materialists,No,,14900000,1:57,7600000
My Name Is Vendetta // Il Mio Nome è Vendetta,Yes,2022-11-30,11600000,1:32,7600000
Trolls World Tour,No,,11600000,1:31,7600000
Madagascar: Escape 2 Africa,No,,11500000,1:31,7600000
Untold: The Shooting at Hawthorne Hill,Yes,2026-04-21,9400000,1:14,7600000
Inglourious Basterds,No,,19200000,2:33,7500000
I Know What You Did Last Summer (2025),No,,13800000,1:51,7500000
Spellbound,Yes,2024-11-22,13800000,1:50,7500000
A Madea Homecoming,Yes,2022-02-25,13300000,1:47,7500000
13 Going on 30,No,,12300000,1:38,7500000
Love at Last // Sonunda Sen,No,,11400000,1:31,7500000
Murder Mystery 2,Yes,2023-03-31,11300000,1:31,7500000
Fast Charlie,No,,11200000,1:30,7500000
The Hunt (2020),No,,11200000,1:30,7500000
Mission: Impossible - The Final Reckoning,No,,20900000,2:50,7400000
The Fifth Element,No,,15500000,2:06,7400000
Carry-On,Yes,2024-12-13,14700000,2:00,7400000
Mother's Day (2016),No,,14600000,1:58,7400000
Accepted (2006),No,,11500000,1:33,7400000
The Dark Knight (2008),No,,18500000,2:32,7300000
Ustaad Bhagat Singh,No,,18300000,2:31,7300000
Do Deewane Seher Mein // दो दीवाने सहर में,No,,16400000,2:15,7300000
"Crazy, Stupid, Love.",No,,14300000,1:58,7300000
My Dearest Señorita // Mi querida señorita,Yes,2026-05-01,14200000,1:56,7300000
Priscilla,No,,13800000,1:53,7300000
Lou,Yes,2022-09-23,13300000,1:49,7300000
Angel Eyes (2001),No,,12500000,1:43,7300000
Mike and Dave Need Wedding Dates,No,,12100000,1:39,7300000
Rio (2011),No,,11700000,1:36,7300000
Ruth & Boaz,Yes,2025-09-26,11300000,1:33,7300000
Mission: Impossible - Dead Reckoning,No,,19600000,2:44,7200000
Youth (2026),No,,16900000,2:20,7200000
Angel Has Fallen,No,,14600000,2:01,7200000
Sweet Girl,Yes,2021-08-20,13200000,1:50,7200000
Copshop,No,2022-01-14,12900000,1:48,7200000
Goosebumps (2015),No,,12500000,1:44,7200000
It Takes Two (1995),No,,12100000,1:41,7200000
Vacation (2015),No,,11900000,1:39,7200000
Under Paris // Sous la Seine,Yes,2024-06-05,12300000,1:44,7100000
Over the Moon,Yes,2020-10-23,11900000,1:41,7100000
"The Rise of the Red Hot Chili Peppers: Our Brother, Hillel",Yes,2026-03-20,11300000,1:35,7100000
Penguins of Madagascar: The Movie,No,,10900000,1:32,7100000
Sniper 2,No,,10700000,1:31,7100000
Dog Gone Trouble,No,2021-05-28,10400000,1:28,7100000
Extinct,No,2021-11-19,10000000,1:25,7100000
Heart of Stone,Yes,2023-08-11,14600000,2:05,7000000
Spider-Man (2002),No,,14200000,2:01,7000000
Jack Reacher: Never Go Back,No,,13700000,1:58,7000000
Letters to Juliet,No,,12300000,1:45,7000000
Quantum of Solace,No,,12300000,1:46,7000000
The Swedish Connection // Den svenska länken,Yes,2026-02-19,12100000,1:43,7000000
A Quiet Place: Day One,No,,11700000,1:40,7000000
Hercules (2014),No,,11500000,1:39,7000000
Pokémon: Mewtwo Strikes Back - Evolution // ミュウツーの逆襲 EVOLUTION,Yes,2020-02-27,11400000,1:38,7000000
Puss in Boots (2011),No,,10800000,1:33,7000000
The Singers,Yes,2026-02-13,2100000,0:18,7000000
Akhanda 2: Thaandavam,Yes,,18900000,2:44,6900000
Spider-Man: Across the Spider-Verse,No,,16100000,2:20,6900000
French Lover,Yes,2025-09-26,14100000,2:02,6900000
Hidden Strike,No,,11800000,1:43,6900000
Night at the Museum: Secret of the Tomb,No,,11200000,1:38,6900000
Uptown Girls,No,,10600000,1:32,6900000
The Carman Family Deaths,Yes,2025-11-19,10400000,1:31,6900000
The Maze Runner,No,,12800000,1:53,6800000
Paul (2011),No,,11800000,1:44,6800000
You Are So Not Invited to My Bat Mitzvah,Yes,2023-08-25,11800000,1:44,6800000
"Miraculous: Ladybug & Cat Noir, The Movie",No,2023-07-28,11500000,1:42,6800000
Thelma the Unicorn,Yes,2024-05-17,11100000,1:38,6800000
The Willoughbys,Yes,2020-04-22,10500000,1:33,6800000
Masha and the Bear: The Legend of the 12 Months,No,,2600000,0:23,6800000
Jurassic Park,No,,14100000,2:07,6700000
Lone Survivor,No,,13500000,2:01,6700000
Land of Bad,No,,12800000,1:54,6700000
Nonnas,Yes,2025-05-09,12800000,1:54,6700000
The Unforgivable,Yes,2021-12-10,12800000,1:54,6700000
Day Shift,Yes,2022-08-12,12600000,1:53,6700000
#SalveRosa,No,,10700000,1:36,6700000
Scooby-Doo,No,,9600000,1:26,6700000
Furiosa: A Mad Max Saga,No,,16400000,2:28,6600000
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,No,,14200000,2:09,6600000
The Passion of the Christ,No,,13400000,2:01,6600000
She Said Maybe,Yes,2025-09-19,11700000,1:47,6600000
Ghislaine Maxwell: Filthy Rich,Yes,2022-11-25,11100000,1:41,6600000
The Lord of the Rings: The Fellowship of the Ring,No,,19400000,2:58,6500000
Jay Kelly,Yes,2025-12-05,14600000,2:14,6500000
Creed II,No,,14000000,2:10,6500000
The Longest Yard (2005),No,,12400000,1:54,6500000
Mudborn // 泥娃娃,Yes,,12000000,1:51,6500000
Bad Influence // Mala influencia,Yes,2025-05-09,11600000,1:47,6500000
Beetlejuice Beetlejuice,No,,11300000,1:45,6500000
Death Whisperer 3 // ธี่หยด 3,Yes,,11300000,1:44,6500000
The Smurfs (2011),No,,11100000,1:43,6500000
Those Who Wish Me Dead,No,,10800000,1:40,6500000
Skin Trade,No,,10400000,1:36,6500000
The Guilty,Yes,2021-10-01,9900000,1:31,6500000
"Husband, Father, Killer: The Alyssa Pladl Story",No,,9600000,1:28,6500000
Ford v. Ferrari,No,,16400000,2:33,6400000
Army of the Dead,Yes,2021-05-21,15900000,2:28,6400000
The School for Good and Evil,Yes,2022-10-19,15900000,2:29,6400000
The Harder They Fall,Yes,2021-11-03,14800000,2:19,6400000
A Letter To My Youth // Surat Untuk Masa Mudaku,Yes,2026-01-29,14400000,2:16,6400000
28 Years Later,No,,12300000,1:55,6400000
The Twilight Saga: Breaking Dawn: Part 2,No,,12200000,1:55,6400000
Maze Runner: The Scorch Trials,No,,13900000,2:12,6300000
Ekō from the Infinite Chronicles of Kurichan // Eko,No,,13200000,2:05,6300000
Sonic the Hedgehog 2,No,,13100000,2:04,6300000
Hustle,Yes,2022-06-08,12300000,1:58,6300000
Your Place or Mine,Yes,2023-02-10,11600000,1:51,6300000
Central Intelligence,No,,11400000,1:48,6300000
Wrath of the Titans,No,,10400000,1:39,6300000
BTS: THE RETURN // BTS: 더 리턴,Yes,2026-03-27,9900000,1:34,6300000
Beast (English) (2022),No,,9700000,1:33,6300000
Scary Movie (2000),No,,9300000,1:28,6300000
Fury (2014),No,,13800000,2:14,6200000
Spirited Away // 千と千尋の神隠し,No,,12900000,2:05,6200000
Pretty Woman (1990),No,,12300000,1:59,6200000
The Contractor (2007),No,,10200000,1:39,6200000
The Monkey King,Yes,2023-08-18,10100000,1:37,6200000
Failure to Launch,No,,10000000,1:37,6200000
Terry McMillan Presents: Forever,No,,9100000,1:28,6200000
The Interpreter (2005),No,,13000000,2:08,6100000
Jumanji: The Next Level,No,,12500000,2:03,6100000
Wrath of Man,No,,12000000,1:59,6100000
Ordinary Angels,No,,11900000,1:58,6100000
Passengers (2016),No,,11800000,1:56,6100000
Ron's Gone Wrong,No,,10900000,1:47,6100000
Jujutsu Kaisen 0: The Movie // 劇場版 呪術廻戦 0,No,,10700000,1:45,6100000
Brick,Yes,2025-07-10,10300000,1:41,6100000
Interceptor,Yes,2022-06-03,10100000,1:39,6100000
Rush Hour (1998),No,,9900000,1:38,6100000
Mango,Yes,2025-11-07,9800000,1:36,6100000
Lucy (2014),No,,9100000,1:29,6100000
American Murder: The Family Next Door,Yes,2020-09-30,8500000,1:24,6100000
Pinkfong & Baby Shark's Space Adventure // 핑크퐁 시네마 콘서트: 우주대탐험,Yes,,6600000,1:05,6100000
With Love (2026),No,,14100000,2:21,6000000
Bohemian Rhapsody,No,,13400000,2:15,6000000
Focus (2015),No,,10500000,1:45,6000000
Night at the Museum: Battle of the Smithsonian,No,,10500000,1:45,6000000
The Black Phone,No,,10300000,1:43,6000000
Queen of Chess,Yes,2026-02-06,9500000,1:35,6000000
Dodgeball: A True Underdog Story,No,,9200000,1:32,6000000
Escape Plan 2: Hades,No,,9200000,1:32,6000000
Dog Man (2024),No,,8900000,1:29,6000000
A Time to Kill (1996),No,,14700000,2:30,5900000
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,14600000,2:29,5900000
Joker: Folie à Deux,No,,13500000,2:18,5900000
The Kissing Booth 2,Yes,2020-07-24,13100000,2:13,5900000
Colors of Evil: Red // Kolory zła: Czerwień,Yes,2024-05-29,11000000,1:52,5900000
Deepwater Horizon,No,,10500000,1:47,5900000
Rio 2,No,,10100000,1:42,5900000
Journey 2: The Mysterious Island,No,,9300000,1:34,5900000
Alvin and the Chipmunks: The Road Chip,No,,9000000,1:32,5900000
My Favorite Wedding,No,,8700000,1:28,5900000
Finders Keepers (2014),No,,8600000,1:28,5900000
A Gorilla Story: Told by David Attenborough,Yes,2026-04-17,7700000,1:18,5900000
The Irishman,Yes,2019-11-27,20200000,3:29,5800000
The Revenant (2015),No,,15100000,2:36,5800000
13 Hours: The Secret Soldiers of Benghazi,No,,13900000,2:24,5800000
Green Book,No,,12500000,2:10,5800000
Blood Red Sky,Yes,2021-07-23,11900000,2:03,5800000
The Killer,Yes,2023-11-10,11500000,2:00,5800000
STRAW,Yes,2025-06-06,10400000,1:48,5800000
The Last Song (2010),No,,9900000,1:43,5800000
