Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
Finding Her Edge: Season 1,Yes,2026-01-22,127000000,6:03,21000000
BTS THE COMEBACK LIVE | ARIRANG // BTS 컴백 라이브: ARIRANG,No,2026-03-21,22400000,1:02*,20700000
Something Very Bad Is Going to Happen: Season 1,Yes,2026-03-26,128800000,6:21,20300000
Sheriff Labrador: Season 1,Yes,,110500000,5:27,20300000
The WONDERfools: Limited Series // 원더풀스: 리미티드 시리즈,Yes,2026-05-15,188400000,9:26,20000000
If Wishes Could Kill: Limited Series // 기리고: 리미티드 시리즈,Yes,2026-04-24,118400000,5:59,19800000
Beauty in Black: Season 2,Yes,2025-09-11,270600000,13:52,19500000
Bridgerton: Season 2,Yes,2022-03-25,166100000,8:30,19500000
Legends: Season 1,Yes,2026-05-07,114000000,5:54,19300000
KPop Demon Hunters Lyric Videos,Yes,2025-10-08,7500000,0:24,18800000
KPop Demon Hunters Bonus Content: Fan Collection,Yes,2026-03-06,2700000,0:09,18000000
The Good Doctor: Season 1,No,,217900000,12:55,16900000
The Polygamist: Season 1,Yes,2026-06-12,159100000,9:39,16500000
Peppa Pig: Season 6,No,,33100000,2:02,16300000
Boyfriend on Demand: Limited Series // 월간남친: 리미티드 시리즈,Yes,2026-03-06,160900000,9:59,16100000
Taskaree: The Smuggler's Web: Season 1 // तस्करी: द स्मगलर्स वेब: सीज़न 1,Yes,2026-01-13,87000000,5:24,16100000
The Four Seasons: Season 2,Yes,2026-05-28,66200000,4:12,15800000
My Royal Nemesis: Limited Series // 멋진 신세계: 리미티드 시리즈,Yes,2026-05-08,253400000,16:09,15700000
The Beast in Me: Limited Series,Yes,2025-11-13,100900000,6:36,15300000
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,122900000,8:08,15100000
Young Sheldon: Season 1,No,,109300000,7:13,15100000
Mark Rober's CrunchLabs: Season 2,Yes,,28000000,1:57,14400000
Gabby's Dollhouse: Season 13,Yes,2026-03-02,28500000,2:02,14000000
Peaky Blinders: Season 1,No,2014-09-30,78400000,5:39,13900000
Ronaldinho: The One and Only: Limited Series // Ronaldinho Gaúcho: Minissérie,Yes,2026-04-16,38400000,2:47,13800000
The Night Agent: Season 2,Yes,2025-01-23,115300000,8:36,13400000
The Night Agent: Season 1,Yes,2023-03-23,109800000,8:11,13400000
Love Is Blind: S10: Ohio,No,2026-02-11,179100000,13:38,13100000
Bandi: Season 1,Yes,2026-04-09,101500000,7:48,13000000
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,83500000,6:29,12900000
BEEF: Season 2,Yes,2026-04-16,75100000,5:52,12800000
Lead Children: Limited Series // Ołowiane dzieci: Miniserial,Yes,2026-02-11,73400000,5:45,12800000
The Predator of Seville: Limited Series,Yes,2026-03-27,30800000,2:24,12800000
Peppa Pig: Season 3,No,,26100000,2:02,12800000
Peppa Pig: Season 1,No,,51700000,*,12700000
Skyscraper Live,No,2026-01-24,24400000,1:57*,12600000
Sold Out on You: Limited Series // 오늘도 매진했습니다: 리미티드 시리즈,Yes,2026-04-22,164500000,13:19,12400000
The Cleaning Lady (2022): Season 1,No,,90300000,7:16,12400000
Peppa Pig: Season 4,No,,25300000,2:03,12300000
Avatar: The Last Airbender: Season 2,Yes,2026-06-25,90000000,7:28,12100000
Big Mistakes: Season 1,Yes,2026-04-09,54000000,4:27,12100000
That Night: Limited Series // Esa noche: Miniserie,Yes,2026-03-13,48800000,4:07,11900000
Sullivan's Crossing: Season 1,No,,86400000,7:21,11800000
Young Sheldon: Season 2,No,,84600000,7:10,11800000
Gabby's Dollhouse: Season 1,Yes,2021-01-05,47700000,4:02,11800000
The Mentalist (2008): Season 1,No,,193400000,16:36,11700000
Pursuit of Jade: Season 1 // 逐玉: 第 1 季,Yes,,356700000,30:47,11600000
Animal Kingdom (2016): Season 1,No,,95500000,8:13,11600000
Masha and the Bear: Season 5,No,,38000000,3:16,11600000
"A Friend, a Murderer: Limited Series // En ven, en morder: Miniserie",Yes,2026-03-05,24700000,2:08,11600000
Gabby's Dollhouse: Season 12,Yes,2025-11-17,23400000,2:01,11600000
Katt Williams: The Last Report,No,2026-02-10,11300000,0:59,11500000
Breaking Bad: Season 1,No,,65300000,5:48,11300000
Love on the Spectrum: Season 4,No,2026-04-01,66400000,5:57,11200000
Rick and Morty: Season 8,No,,41700000,3:44,11200000
"XO, Kitty: Season 2",Yes,2025-01-16,45300000,4:04,11100000
Fake Profile: Season 3 // Perfil falso: Temporada 3,Yes,2026-04-15,71700000,6:32,11000000
Flunked: Season 1 // Recalé: Saison 1,Yes,2026-04-23,45300000,4:08,11000000
Masha and the Bear: Season 1,No,,36700000,3:20,11000000
Peppa Pig: Season 5,No,,22500000,2:03,11000000
Age of Attraction: Season 1,No,2026-03-11,88100000,8:04,10900000
Young Sheldon: Season 3,No,,73800000,6:47,10900000
Homicide: New York: Season 2,Yes,2026-03-25,45100000,4:13,10700000
Agent Kim Reactivated: Limited Series // 김부장: 리미티드 시리즈,Yes,2026-06-26,23000000,2:09,10700000
Beauty in Black: Season 1,Yes,2024-10-24,133200000,12:36,10600000
"XO, Kitty: Season 1",Yes,2023-05-18,54000000,5:05,10600000
"The Chestnut Man: Hide and Seek // Kastanjemanden: Tælle til en, tælle til to",Yes,2026-05-07,51600000,4:52,10600000
Vladimir: Limited Series,Yes,2026-03-05,42700000,4:01,10600000
The Good Doctor: Season 2,No,,135600000,12:56,10500000
The Creature Cases: Chapter 7,Yes,2026-02-09,29100000,2:46,10500000
The Amazing Digital Circus: Season 1,Yes,,51400000,4:56,10400000
Love & Death: Season 1,No,,64800000,6:17,10300000
Oasis: Season 1,Yes,2026-06-19,59200000,5:44,10300000
The Creature Cases: Chapter 1,Yes,2022-04-12,58900000,5:43,10300000
Young Sheldon: Season 4,No,,56900000,5:33,10300000
Cashero: Limited Series // 캐셔로: 리미티드 시리즈,Yes,2025-12-26,70800000,6:59,10100000
Bebefinn: Season 1,Yes,,25600000,2:32,10100000
The TikTok Killer: Limited Series // El asesino de TikTok: Miniserie,Yes,2026-03-06,15900000,1:34,10100000
Single’s Inferno: Season 5 // 솔로지옥: 시즌 5,No,2026-01-20,167300000,16:39,10000000
Person of Interest: Season 1,No,,167000000,16:47,10000000
Peaky Blinders: Season 2,No,2014-11-14,58500000,5:51,10000000
Free Bert: Season 1,Yes,2026-01-22,26100000,2:36,10000000
Absentia: Season 1,Yes,,72700000,7:20,9900000
11.22.63: Season 1,No,,71700000,7:15,9900000
In the Mud: Season 2 // En el barro: Temporada 2,Yes,2026-02-13,56300000,5:40,9900000
The Museum of Innocence: Limited Series // Masumiyet Müzesi: Mini Dizi,Yes,2026-02-13,75500000,7:40,9800000
Peppa Pig: Season 2,No,,40100000,*,9800000
Alpha Males: Season 4 // Machos alfa: Temporada 4,Yes,2026-01-09,35300000,3:36,9800000
Land of Sin: Limited Series // Synden: Miniserie,Yes,2026-01-02,34800000,3:32,9800000
The Vampire Diaries: Season 1,No,,145900000,15:07,9700000
Young Sheldon: Season 5,No,,69400000,7:09,9700000
Man Vs Baby: Season 1,Yes,2025-12-11,19000000,1:58,9700000
The Handmaid's Tale: Season 1,No,,85100000,8:51,9600000
Salvador: Season 1,Yes,2026-02-06,58300000,6:06,9600000
Younger: Season 1,No,,40600000,4:13,9600000
Mark Rober's CrunchLabs: Season 3,Yes,,21200000,2:13,9600000
Straight to Hell: Season 1 // 地獄に堕ちるわよ: シーズン1,Yes,2026-04-27,79100000,8:22,9500000
Formula 1: Drive to Survive: Season 8,Yes,2026-02-27,57600000,6:04,9500000
Unicorn Academy: Secrets Revealed: Chapter 1,Yes,2026-03-19,33200000,3:30,9500000
Ripple: Season 1,No,,52600000,5:35,9400000
Jujutsu Kaisen: Season 3 // 呪術廻戦: 第3期 死滅回游 前編,No,,46000000,4:55,9400000
Young Sheldon: Season 7,No,,43300000,4:38,9300000
Wednesday: Season 2,Yes,2025-08-06,71300000,7:47,9200000
Cash Queens: Season 1 // Les Lionnes: Saison 1,Yes,2026-02-05,53100000,5:45,9200000
Marcello Hernández: American Boy,No,2026-01-07,10000000,1:05,9200000
Avatar: The Last Airbender: Season 1,Yes,2024-02-22,65900000,7:15,9100000
The Hunting Party: Season 1,No,,64400000,7:05,9100000
Running Point: Season 1,Yes,2025-02-27,45900000,5:04,9100000
Devil May Cry: Season 2,Yes,2026-05-12,43600000,4:46,9100000
Smallville: Season 1,No,,137000000,15:18,9000000
Suits (2011): Season 1,No,,83200000,*,9000000
Young Sheldon: Season 6,No,,64400000,7:08,9000000
Hulk Hogan: Real American: Limited Series,Yes,2026-04-22,37000000,4:08,9000000
The Lincoln Lawyer: Season 1,Yes,2022-05-13,74000000,8:19,8900000
Sullivan's Crossing: Season 2,No,,65600000,7:20,8900000
Little Angel: Volume 7,Yes,,27100000,3:03,8900000
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,91600000,*,8800000
La Brea: Season 1,No,,63400000,7:11,8800000
Love from 9 to 5: Season 1 // Amor de oficina: Temporada 1,Yes,2026-01-01,42500000,4:51,8800000
Between Father and Son: Season 1 // Entre padre e hijo: Temporada 1,Yes,2026-05-13,24900000,2:50,8800000
Breaking Bad: Season 2,No,,89800000,10:18,8700000
Jujutsu Kaisen: Season 1 // 呪術廻戦: 第1期,No,,83100000,9:30,8700000
Sweet Magnolias: Season 5,Yes,2026-06-11,69000000,7:54,8700000
Sandokan: The Pirate Prince: Season 1,No,,67800000,7:46,8700000
Worst Ex Ever: Season 1,Yes,2024-08-28,33400000,3:50,8700000
Pinkfong Little Dino School: Season 1,Yes,,6100000,0:42,8700000
Phantom Lawyer: Season 1 // 신이랑 법률사무소: 시즌 1,No,,146800000,17:10,8600000
Sins of Kujo: Season 1 // 九条の大罪: シーズン1,Yes,2026-04-02,63900000,7:28,8600000
The Lincoln Lawyer: Season 3,Yes,2024-10-17,72500000,8:31,8500000
The Walking Dead: Season 1,No,,41600000,4:53,8500000
Bebefinn: Season 3,Yes,,22200000,2:36,8500000
Sesame Street: Volume 1,No,2025-11-10,17200000,2:02,8500000
Dynamite Kiss: Limited Series // 키스는 괜히 해서!: 리미티드 시리즈,Yes,2025-11-12,128400000,15:19,8400000
The Good Doctor: Season 3,No,,120500000,14:22,8400000
Wayward: Limited Series,Yes,2025-09-25,49600000,5:56,8400000
Barbie Life in the Dreamhouse: Season 1,Yes,,40500000,4:48,8400000
2026 World Baseball Classic: Japan vs. Australia // 2026 ワールドベースボールクラシック: 日本 対 オーストラリア,No,2026-03-08,18000000,*,8400000
Mark Rober's CrunchLabs: Season 1,Yes,,17700000,2:07,8400000
Peaky Blinders: Season 3,No,2016-05-31,47000000,5:40,8300000
UNTAMED: Season 1,Yes,2025-07-17,40500000,4:52,8300000
Stranger Things: Tales From '85: Season 1,Yes,2026-04-23,40400000,4:52,8300000
Funny AF with Kevin Hart: Auditions: New York City,No,2026-04-20,6700000,0:49,8300000
STEEL BALL RUN JoJo’s Bizarre Adventure: 1st STAGE // スティール・ボール・ラン ジョジョの奇妙な冒険: 1st STAGE,Yes,2026-03-19,6500000,0:47,8300000
Is It Cake? Valentines: Season 1,No,2026-02-04,6200000,0:45,8300000
Undercover Miss Hong: Limited Series // 언더커버 미쓰홍: 리미티드 시리즈,Yes,2026-01-17,155500000,19:16,8100000
Culinary Class Wars: Season 2 // 흑백요리사: 요리 계급 전쟁: 시즌 2,No,2025-12-16,139000000,17:07,8100000
PAW Patrol: Season 8,No,,80700000,10:00,8100000
The Cleaning Lady (2022): Season 2,No,,70300000,8:41,8100000
Outlast: The Jungle: Season 1,No,2026-06-10,58100000,7:13,8100000
The Chestnut Man // Kastanjemanden,Yes,2021-09-29,45200000,5:33,8100000
Gabby's Dollhouse: Season 2,Yes,2021-08-10,26200000,3:14,8100000
Ronda Rousey vs. Gina Carano,No,2026-05-16,19500000,*,8100000
BAKI-DOU: The Invincible Samurai: Season 1 // 刃牙道: シーズン1,Yes,2026-02-26,84800000,10:34,8000000
2026 World Baseball Classic: Japan vs. Korea // 2026 ワールドベースボールクラシック: 日本 対 韓国,No,2026-03-07,19300000,*,8000000
Bebefinn Playtime: 시즌 1,Yes,,8100000,1:01,8000000
The Middle: Season 1,No,,68300000,8:37,7900000
The Four Seasons: Season 1,Yes,2025-05-01,34100000,4:18,7900000
2026 World Baseball Classic Quarterfinals: Japan vs. Venezuela // 2026 ワールドベースボールクラシック: 準々決勝 日本 対 ベネズエラ,No,2026-03-14,22800000,*,7900000
Breaking Bad: Season 3,No,,80600000,10:17,7800000
Animal Kingdom (2016): Season 2,No,,81100000,10:28,7700000
The Staircase (2022): Season 1,No,,66800000,8:40,7700000
How To Get To Heaven From Belfast: Season 1,Yes,2026-02-12,51500000,6:43,7700000
Being Gordon Ramsay: Season 1,Yes,2026-02-18,35000000,4:32,7700000
Bebefinn: Season 2,Yes,,19200000,2:30,7700000
Booba: Season 1,Yes,,16100000,2:05,7700000
The Vampire Diaries: Season 2,No,,115000000,15:05,7600000
Wednesday: Season 1,Yes,2022-11-23,51500000,6:49,7600000
Masha and the Bear: Season 2,No,,22400000,2:58,7600000
Million Dollar Secret: Season 2,No,2026-04-15,58200000,7:46,7500000
Southland: Season 1,No,,37300000,5:00,7500000
Younger: Season 2,No,,31600000,4:14,7500000
Alpha Males: Season 5 // Machos alfa: Temporada 5,Yes,2026-04-17,26000000,3:28,7500000
The Creature Cases: Chapter 2,Yes,2022-11-30,3500000,0:28,7500000
Everwood: Season 1,No,,124800000,16:57,7400000
No Tail to Tell: Limited Series // 오늘부터 인간입니다만: 리미티드 시리즈,Yes,2026-01-16,90900000,12:17,7400000
Henry Danger: Season 1,No,,72700000,9:50,7400000
Falling Skies: Season 1,No,,51300000,6:55,7400000
Peaky Blinders: Season 4,No,2017-12-20,42400000,5:47,7300000
Younger: Season 7,No,,41500000,5:41,7300000
Younger: Season 6,No,,36100000,4:56,7300000
Baby Shark Hospital Play: Season 1,Yes,,17400000,2:23,7300000
The Mentalist (2008): Season 2,No,,119000000,16:25,7200000
Breaking Bad: Season 4,No,,73200000,10:14,7200000
Victorious: Season 1,No,,56600000,7:53,7200000
Younger: Season 4,No,,34300000,4:46,7200000
Younger: Season 3,No,,32200000,4:29,7200000
Little Angel: Volume 1,Yes,,26800000,3:44,7200000
"Instadocs: Alex Murdaugh, Unconvicted",Yes,2026-05-30,3600000,0:30,7200000
Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada,No,,3600000,0:30,7200000
The Rookie: Season 7,No,,91500000,12:52,7100000
The Thundermans: Season 1,No,,53500000,7:34,7100000
The Abandons: Season 1,Yes,2025-12-04,36000000,5:05,7100000
The Creature Cases: Chapter 3,Yes,2023-05-22,23800000,3:20,7100000
Bad Dinosaurs: Season 1,Yes,2024-03-28,20000000,2:50,7100000
Trolls Holiday Special,Yes,,3200000,0:27,7100000
The Lincoln Lawyer: Season 2,Yes,2023-07-06,57500000,8:11,7000000
Envious: Season 4 // Envidiosa: Temporada 4,Yes,2026-04-29,30900000,4:23,7000000
The Vampire Diaries: Season 3,No,,104900000,15:06,6900000
Animal Kingdom (2016): Season 3,No,,67100000,9:43,6900000
The Amazing World of Gumball: Season 2,No,,51400000,7:30,6900000
Sullivan's Crossing: Season 3,No,,50700000,7:20,6900000
Heartbreak High: Season 3,Yes,2026-03-25,43500000,6:19,6900000
The Law According to Lidia Poët: Season 3 // La legge di Lidia Poët: Stagione 3,Yes,2026-04-15,35300000,5:09,6900000
Younger: Season 5,No,,34100000,4:55,6900000
Masha and the Bear: Season 3,No,,24500000,3:33,6900000
The Good Doctor: Season 4,No,,98600000,14:26,6800000
Brooklyn Nine-Nine: Season 5,Yes,,54800000,8:01,6800000
Money Heist: Part 2 // La casa de papel: Parte 2,Yes,2017-11-30,46800000,*,6800000
Peaky Blinders: Season 5,No,2019-10-04,39300000,5:48,6800000
Dynasty: The Murdochs: Season 1,Yes,2026-03-13,22900000,3:23,6800000
Gabby's Dollhouse: Season 3,Yes,2021-10-19,19200000,2:50,6800000
2026 World Baseball Classic: Japan vs. Czechia // 2026 ワールドベースボールクラシック: 日本 対 チェコ,No,2026-03-10,15000000,*,6800000
Bebefinn: Season 4,Yes,,7300000,1:04,6800000
Teen Titans Go!: Season 5,No,,61100000,9:07,6700000
Jujutsu Kaisen: Season 2 // 呪術廻戦: 第2期 懐玉・玉折／渋谷事変,No,,61000000,9:08,6700000
Temptation Island: Season 2,No,2026-04-10,58300000,8:43,6700000
At Home With The Furys: Season 2,No,2026-04-12,40000000,6:00,6700000
Adolescence: Limited Series,Yes,2025-03-13,25800000,3:50,6700000
Rick and Morty: Season 7,No,,25100000,3:45,6700000
La Palma: Limited Series,Yes,2024-12-12,20700000,3:04,6700000
True Beauty: Limited Series // 여신강림: 리미티드 시리즈,No,,132200000,20:01,6600000
"Bon Appétit, Your Majesty: Limited Series // 폭군의 셰프: 리미티드 시리즈",Yes,2025-08-23,102800000,15:41,6600000
Suits (2011): Season 2,No,,76100000,11:30,6600000
Sonic Prime: Season 1,Yes,2022-12-15,24500000,3:43,6600000
Mike Epps: Delusional,No,2026-01-27,6600000,1:00,6600000
Lottie Dottie Chicken: 2ª temporada // Galinha Pintadinha: 2ª temporada,No,,4700000,0:43,6600000
Breaking Bad: Season 5,No,,83100000,12:50,6500000
The Cleaning Lady (2022): Season 3,No,,56500000,8:41,6500000
Fool Me Once: Limited Series,Yes,2024-01-01,42000000,6:25,6500000
Peaky Blinders: Season 6,No,2022-06-10,40500000,6:12,6500000
Weak Hero: Class 2 // 약한영웅: Class 2,Yes,2025-04-25,37500000,5:46,6500000
Hot Wheels Let's Race: Season 1,Yes,2024-03-04,26400000,4:02,6500000
Funny AF with Kevin Hart: Auditions: Los Angeles,No,2026-04-20,6000000,0:55,6500000
The Rookie: Season 1,No,,91300000,14:14,6400000
The Price of Confession: Season 1 // 자백의 대가: 시즌 1,Yes,2025-12-05,66200000,10:22,6400000
PAW Patrol: Season 7,No,,64100000,10:03,6400000
Animal Kingdom (2016): Season 4,No,,62600000,9:45,6400000
Lucifer: Season 1,No,2017-07-23,60000000,9:26,6400000
Perfect Match: Season 4,No,2026-05-13,55100000,8:35,6400000
Absentia: Season 2,Yes,,46200000,7:11,6400000
Henry Danger: Season 2,No,,46200000,7:16,6400000
Money Heist: Part 3 // La casa de papel: Parte 3,Yes,2019-07-19,41800000,6:30,6400000
Gangs of Galicia: Season 2 // Clanes: Temporada 2,Yes,2026-04-03,30300000,4:43,6400000
Ricky Gervais: Mortality,No,2025-12-30,6300000,0:59,6400000
Person of Interest: Season 2,No,,100400000,16:03,6300000
SpongeBob SquarePants: Season 9,No,,64400000,10:10,6300000
Henry Danger: Season 3,No,,47700000,7:36,6300000
Vikings (2013): Season 1,Yes,,42800000,6:48,6300000
Brooklyn Nine-Nine: Season 6,Yes,,40900000,6:31,6300000
Booba: Season 4,Yes,,19000000,3:02,6300000
2026 World Baseball Classic: Chinese Taipei vs. Japan // 2026 ワールドベースボールクラシック: チャイニーズ・タイペイ 対 日本,No,2026-03-06,13900000,*,6300000
The Walking Dead: Season 2,No,,60000000,9:39,6200000
"To Love, To Lose: Season 1 // Ayrılık da Sevdaya Dahil: 1. Sezon",Yes,2026-01-15,43900000,7:04,6200000
Boots: Season 1,Yes,2025-10-09,36300000,5:51,6200000
Victorious: Season 2,No,,31600000,*,6200000
Henry Danger: Season 5,No,,91500000,15:05,6100000
Sam & Cat: Season 1,No,,82600000,13:33,6100000
2 Broke Girls (2011): Season 1,No,,52700000,8:35,6100000
Brooklyn Nine-Nine: Season 3,Yes,,50000000,8:15,6100000
"Thank You, Next: Season 3 // Kimler Geldi Kimler Geçti: 3. Sezon",Yes,2026-05-08,30000000,4:57,6100000
Motorvalley: Season 1,Yes,2026-02-10,28300000,4:39,6100000
The Creature Cases: Chapter 6,Yes,2025-12-15,16900000,2:45,6100000
The Vampire Diaries: Season 4,No,,95500000,15:52,6000000
The Handmaid's Tale: Season 2,No,,72200000,12:06,6000000
Homeland: Season 1,No,,65200000,10:57,6000000
Animal Kingdom (2016): Season 5,No,,58500000,9:44,6000000
The Rookie: Season 6,No,,42800000,7:09,6000000
Brooklyn Nine-Nine: Season 7,Yes,,28000000,4:42,6000000
"Made with Love: Season 1 // Luka, Makan, Cinta: Season 1",Yes,2026-04-15,28000000,4:39,6000000
Play and Discover With José Totoy // José Totoy 3,No,,4500000,0:45,6000000
Lottie Dottie Chicken: 5ª temporada // Galinha Pintadinha: 5ª temporada,No,,3500000,0:35,6000000
Lottie Dottie Chicken: 3ª temporada // Galinha Pintadinha: 3ª temporada,No,,3400000,0:34,6000000
Bebefinn Dance Time: Season 1 // 베베핀 댄스타임: 시즌 1,Yes,,2100000,0:21,6000000
The Queen of Flow: Season 3 // La reina del flow: Temporada 3,No,2026-01-14,299500000,51:02,5900000
PAW Patrol: Season 2,No,,58500000,9:54,5900000
Shameless (U.S.): Season 1,No,,58500000,9:55,5900000
The Thundermans: Season 3,No,,57600000,9:47,5900000
Teen Titans Go!: Season 1,No,,56100000,9:26,5900000
Emily in Paris: Season 4,Yes,2024-08-15,35400000,5:57,5900000
Fatal Seduction: Season 3,Yes,2026-03-13,33300000,5:41,5900000
A Good Girl's Guide to Murder: Season 2,No,2026-05-27,28200000,4:46,5900000
Gabby's Dollhouse: Season 4,Yes,2022-02-01,19100000,3:14,5900000
The Mentalist (2008): Season 3,No,,99400000,*,5800000
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,70400000,12:14,5800000
The Thundermans: Season 4,No,,70300000,12:03,5800000
PAW Patrol: Season 3,No,,58100000,10:04,5800000
AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders: Season 3,Yes,2026-06-16,40400000,7:01,5800000
Berlin and the Jewels of Paris: Limited Series // Berlín y las joyas de París: Miniserie,Yes,2023-12-29,38100000,6:34,5800000
Weak Hero: Class 1 // 약한영웅: Class 1,Yes,2025-03-25,32100000,5:31,5800000
Sean Combs: The Reckoning: Limited Series,Yes,2025-12-02,23900000,4:08,5800000
Funny AF with Kevin Hart: Auditions: Chicago,No,2026-04-20,5200000,0:54,5800000
Brooklyn Nine-Nine: Season 1,No,,45200000,7:58,5700000
Brooklyn Nine-Nine: Season 4,Yes,,45100000,7:53,5700000
Furies: Season 2: Furies: Resistance,Yes,2026-03-18,26000000,4:36,5700000
The Accident: Season 2 // Accidente: Temporada 2,Yes,2025-12-10,25800000,4:32,5700000
Little Angel: Volume 2,Yes,,20000000,3:30,5700000
Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada,No,,3300000,0:35,5700000
Animal Kingdom (2016): Season 6,No,,56900000,10:14,5600000
The Thundermans: Season 2,No,,53300000,9:27,5600000
Ginny & Georgia: Season 1,Yes,2021-02-24,51100000,9:08,5600000
Maid: Limited Series,Yes,2021-10-01,50600000,9:05,5600000
Outer Banks: Season 1,Yes,2020-04-15,47500000,8:25,5600000
Absentia: Season 3,Yes,,41300000,7:23,5600000
The Amazing World of Gumball: Season 1,No,,38000000,*,5600000
Fake Profile: Season 1 // Perfil falso: Temporada 1,Yes,2023-05-31,35600000,6:20,5600000
Jurassic World Camp Cretaceous: Season 1,Yes,2020-09-18,18300000,3:15,5600000
Rosario Tijeras (Mexico): Season 5,No,2026-06-10,167800000,30:20,5500000
Virgin River: Season 6,Yes,2024-12-19,45900000,8:19,5500000
Avatar: The Last Airbender (2005): Book 1,No,,44800000,8:08,5500000
The Evil Lawyer: Season 1 // ทนายปีศาจ: ซีซั่น 1,Yes,2026-06-11,37500000,6:51,5500000
Money Heist: Part 4 // La casa de papel: Parte 4,Yes,2020-04-03,36600000,6:42,5500000
Unlocked: A Jail Experiment: Season 2,Yes,2026-01-07,32700000,5:54,5500000
7 Bears: Limited Series,Yes,2025-07-10,25500000,4:36,5500000
High Tides: Season 3 // Knokke Off: Seizoen 3,No,2026-04-02,21400000,3:52,5500000
CoComelon: Season 14,Yes,2025-12-23,16500000,2:59,5500000
Gabby's Dollhouse: Season 5,Yes,2022-07-25,13300000,2:26,5500000
Booba: Season 3,Yes,,11300000,2:04,5500000
