Sheet,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
Shows,Bloodhounds: Season 2 // 사냥개들: 시즌 2,Yes,2026-04-03,169100000,6:58,24300000
Shows,Trust Me: The False Prophet: Season 1,Yes,2026-04-08,79400000,3:17,24200000
Shows,Bridgerton: Season 1,Yes,2020-12-25,194400000,8:12,23700000
Shows,Stranger Things 4,Yes,2022-05-27,303300000,13:04,23200000
Shows,Bridgerton: Season 3,Yes,2024-05-16,185500000,7:59,23200000
Shows,The Boroughs: Season 1,Yes,2026-05-21,144300000,6:15,23100000
Shows,Stranger Things 3,Yes,2019-07-04,172100000,7:33,22800000
Shows,Reality Check: Inside America's Next Top Model: Season 1,Yes,2026-02-16,62400000,2:47,22400000
Shows,Radioactive Emergency: Season 1 // Emergência Radioativa: Temporada 1,Yes,2026-03-18,112300000,5:08,21900000
Shows,Stranger Things 2,Yes,2017-10-27,172100000,7:53,21800000
Shows,Detective Hole: Season 1 // Harry Hole: Sesong 1,Yes,2026-03-26,160800000,7:24,21700000
Shows,Jeffrey Epstein: Filthy Rich: Limited Series,Yes,2020-05-27,81700000,3:46,21700000
Shows,ONE PIECE: Season 1,Yes,2023-08-31,162900000,7:34,21500000
Shows,Emily in Paris: Season 5,Yes,2025-12-18,122600000,5:47,21200000
Shows,Running Point: Season 2,Yes,2026-04-23,101000000,4:47,21100000
Shows,The Roast of Kevin Hart,No,2026-05-10,60400000,2:52,21100000
Shows,Finding Her Edge: Season 1,Yes,2026-01-22,127000000,6:03,21000000
Shows,BTS THE COMEBACK LIVE | ARIRANG // BTS 컴백 라이브: ARIRANG,No,2026-03-21,22400000,1:02*,20700000
Shows,Something Very Bad Is Going to Happen: Season 1,Yes,2026-03-26,128800000,6:21,20300000
Shows,Sheriff Labrador: Season 1,Yes,,110500000,5:27,20300000
Shows,The WONDERfools: Limited Series // 원더풀스: 리미티드 시리즈,Yes,2026-05-15,188400000,9:26,20000000
Shows,If Wishes Could Kill: Limited Series // 기리고: 리미티드 시리즈,Yes,2026-04-24,118400000,5:59,19800000
Shows,Beauty in Black: Season 2,Yes,2025-09-11,270600000,13:52,19500000
Shows,Bridgerton: Season 2,Yes,2022-03-25,166100000,8:30,19500000
Shows,Legends: Season 1,Yes,2026-05-07,114000000,5:54,19300000
Shows,KPop Demon Hunters Lyric Videos,Yes,2025-10-08,7500000,0:24,18800000
Shows,KPop Demon Hunters Bonus Content: Fan Collection,Yes,2026-03-06,2700000,0:09,18000000
Shows,The Good Doctor: Season 1,No,,217900000,12:55,16900000
Shows,The Polygamist: Season 1,Yes,2026-06-12,159100000,9:39,16500000
Shows,Peppa Pig: Season 6,No,,33100000,2:02,16300000
Shows,Boyfriend on Demand: Limited Series // 월간남친: 리미티드 시리즈,Yes,2026-03-06,160900000,9:59,16100000
Shows,Taskaree: The Smuggler's Web: Season 1 // तस्करी: द स्मगलर्स वेब: सीज़न 1,Yes,2026-01-13,87000000,5:24,16100000
Shows,The Four Seasons: Season 2,Yes,2026-05-28,66200000,4:12,15800000
Shows,My Royal Nemesis: Limited Series // 멋진 신세계: 리미티드 시리즈,Yes,2026-05-08,253400000,16:09,15700000
Shows,The Beast in Me: Limited Series,Yes,2025-11-13,100900000,6:36,15300000
Shows,Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,122900000,8:08,15100000
Shows,Young Sheldon: Season 1,No,,109300000,7:13,15100000
Shows,Mark Rober's CrunchLabs: Season 2,Yes,,28000000,1:57,14400000
Shows,Gabby's Dollhouse: Season 13,Yes,2026-03-02,28500000,2:02,14000000
Shows,Peaky Blinders: Season 1,No,2014-09-30,78400000,5:39,13900000
Shows,Ronaldinho: The One and Only: Limited Series // Ronaldinho Gaúcho: Minissérie,Yes,2026-04-16,38400000,2:47,13800000
Shows,The Night Agent: Season 2,Yes,2025-01-23,115300000,8:36,13400000
Shows,The Night Agent: Season 1,Yes,2023-03-23,109800000,8:11,13400000
Shows,Love Is Blind: S10: Ohio,No,2026-02-11,179100000,13:38,13100000
Shows,Bandi: Season 1,Yes,2026-04-09,101500000,7:48,13000000
Shows,Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,83500000,6:29,12900000
Shows,BEEF: Season 2,Yes,2026-04-16,75100000,5:52,12800000
Shows,Lead Children: Limited Series // Ołowiane dzieci: Miniserial,Yes,2026-02-11,73400000,5:45,12800000
Shows,The Predator of Seville: Limited Series,Yes,2026-03-27,30800000,2:24,12800000
Shows,Peppa Pig: Season 3,No,,26100000,2:02,12800000
Shows,Peppa Pig: Season 1,No,,51700000,*,12700000
Shows,Skyscraper Live,No,2026-01-24,24400000,1:57*,12600000
Shows,Sold Out on You: Limited Series // 오늘도 매진했습니다: 리미티드 시리즈,Yes,2026-04-22,164500000,13:19,12400000
Shows,The Cleaning Lady (2022): Season 1,No,,90300000,7:16,12400000
Shows,Peppa Pig: Season 4,No,,25300000,2:03,12300000
Shows,Avatar: The Last Airbender: Season 2,Yes,2026-06-25,90000000,7:28,12100000
Shows,Big Mistakes: Season 1,Yes,2026-04-09,54000000,4:27,12100000
Shows,That Night: Limited Series // Esa noche: Miniserie,Yes,2026-03-13,48800000,4:07,11900000
Shows,Sullivan's Crossing: Season 1,No,,86400000,7:21,11800000
Shows,Young Sheldon: Season 2,No,,84600000,7:10,11800000
Shows,Gabby's Dollhouse: Season 1,Yes,2021-01-05,47700000,4:02,11800000
Shows,The Mentalist (2008): Season 1,No,,193400000,16:36,11700000
Shows,Pursuit of Jade: Season 1 // 逐玉: 第 1 季,Yes,,356700000,30:47,11600000
Shows,Animal Kingdom (2016): Season 1,No,,95500000,8:13,11600000
Shows,Masha and the Bear: Season 5,No,,38000000,3:16,11600000
Shows,"A Friend, a Murderer: Limited Series // En ven, en morder: Miniserie",Yes,2026-03-05,24700000,2:08,11600000
Shows,Gabby's Dollhouse: Season 12,Yes,2025-11-17,23400000,2:01,11600000
Shows,Katt Williams: The Last Report,No,2026-02-10,11300000,0:59,11500000
Shows,Breaking Bad: Season 1,No,,65300000,5:48,11300000
Shows,Love on the Spectrum: Season 4,No,2026-04-01,66400000,5:57,11200000
Shows,Rick and Morty: Season 8,No,,41700000,3:44,11200000
Shows,"XO, Kitty: Season 2",Yes,2025-01-16,45300000,4:04,11100000
Shows,Fake Profile: Season 3 // Perfil falso: Temporada 3,Yes,2026-04-15,71700000,6:32,11000000
Shows,Flunked: Season 1 // Recalé: Saison 1,Yes,2026-04-23,45300000,4:08,11000000
Shows,Masha and the Bear: Season 1,No,,36700000,3:20,11000000
Shows,Peppa Pig: Season 5,No,,22500000,2:03,11000000
Shows,Age of Attraction: Season 1,No,2026-03-11,88100000,8:04,10900000
Shows,Young Sheldon: Season 3,No,,73800000,6:47,10900000
Shows,Homicide: New York: Season 2,Yes,2026-03-25,45100000,4:13,10700000
Shows,Agent Kim Reactivated: Limited Series // 김부장: 리미티드 시리즈,Yes,2026-06-26,23000000,2:09,10700000
Shows,Beauty in Black: Season 1,Yes,2024-10-24,133200000,12:36,10600000
Shows,"XO, Kitty: Season 1",Yes,2023-05-18,54000000,5:05,10600000
Shows,"The Chestnut Man: Hide and Seek // Kastanjemanden: Tælle til en, tælle til to",Yes,2026-05-07,51600000,4:52,10600000
Shows,Vladimir: Limited Series,Yes,2026-03-05,42700000,4:01,10600000
Shows,The Good Doctor: Season 2,No,,135600000,12:56,10500000
Shows,The Creature Cases: Chapter 7,Yes,2026-02-09,29100000,2:46,10500000
Shows,The Amazing Digital Circus: Season 1,Yes,,51400000,4:56,10400000
Shows,Love & Death: Season 1,No,,64800000,6:17,10300000
Shows,Oasis: Season 1,Yes,2026-06-19,59200000,5:44,10300000
Shows,The Creature Cases: Chapter 1,Yes,2022-04-12,58900000,5:43,10300000
Shows,Young Sheldon: Season 4,No,,56900000,5:33,10300000
Shows,Cashero: Limited Series // 캐셔로: 리미티드 시리즈,Yes,2025-12-26,70800000,6:59,10100000
Shows,Bebefinn: Season 1,Yes,,25600000,2:32,10100000
Shows,The TikTok Killer: Limited Series // El asesino de TikTok: Miniserie,Yes,2026-03-06,15900000,1:34,10100000
Shows,Single’s Inferno: Season 5 // 솔로지옥: 시즌 5,No,2026-01-20,167300000,16:39,10000000
Shows,Person of Interest: Season 1,No,,167000000,16:47,10000000
Shows,Peaky Blinders: Season 2,No,2014-11-14,58500000,5:51,10000000
Shows,Free Bert: Season 1,Yes,2026-01-22,26100000,2:36,10000000
Shows,Absentia: Season 1,Yes,,72700000,7:20,9900000
Shows,11.22.63: Season 1,No,,71700000,7:15,9900000
Shows,In the Mud: Season 2 // En el barro: Temporada 2,Yes,2026-02-13,56300000,5:40,9900000
Shows,The Museum of Innocence: Limited Series // Masumiyet Müzesi: Mini Dizi,Yes,2026-02-13,75500000,7:40,9800000
Shows,Peppa Pig: Season 2,No,,40100000,*,9800000
Shows,Alpha Males: Season 4 // Machos alfa: Temporada 4,Yes,2026-01-09,35300000,3:36,9800000
Shows,Land of Sin: Limited Series // Synden: Miniserie,Yes,2026-01-02,34800000,3:32,9800000
Shows,The Vampire Diaries: Season 1,No,,145900000,15:07,9700000
Shows,Young Sheldon: Season 5,No,,69400000,7:09,9700000
Shows,Man Vs Baby: Season 1,Yes,2025-12-11,19000000,1:58,9700000
Shows,The Handmaid's Tale: Season 1,No,,85100000,8:51,9600000
Shows,Salvador: Season 1,Yes,2026-02-06,58300000,6:06,9600000
Shows,Younger: Season 1,No,,40600000,4:13,9600000
Shows,Mark Rober's CrunchLabs: Season 3,Yes,,21200000,2:13,9600000
Shows,Straight to Hell: Season 1 // 地獄に堕ちるわよ: シーズン1,Yes,2026-04-27,79100000,8:22,9500000
Shows,Formula 1: Drive to Survive: Season 8,Yes,2026-02-27,57600000,6:04,9500000
Shows,Unicorn Academy: Secrets Revealed: Chapter 1,Yes,2026-03-19,33200000,3:30,9500000
Shows,Ripple: Season 1,No,,52600000,5:35,9400000
Shows,Jujutsu Kaisen: Season 3 // 呪術廻戦: 第3期 死滅回游 前編,No,,46000000,4:55,9400000
Shows,Young Sheldon: Season 7,No,,43300000,4:38,9300000
Shows,Wednesday: Season 2,Yes,2025-08-06,71300000,7:47,9200000
Shows,Cash Queens: Season 1 // Les Lionnes: Saison 1,Yes,2026-02-05,53100000,5:45,9200000
Shows,Marcello Hernández: American Boy,No,2026-01-07,10000000,1:05,9200000
Shows,Avatar: The Last Airbender: Season 1,Yes,2024-02-22,65900000,7:15,9100000
Shows,The Hunting Party: Season 1,No,,64400000,7:05,9100000
Shows,Running Point: Season 1,Yes,2025-02-27,45900000,5:04,9100000
Shows,Devil May Cry: Season 2,Yes,2026-05-12,43600000,4:46,9100000
Shows,Smallville: Season 1,No,,137000000,15:18,9000000
Shows,Suits (2011): Season 1,No,,83200000,*,9000000
Shows,Young Sheldon: Season 6,No,,64400000,7:08,9000000
Shows,Hulk Hogan: Real American: Limited Series,Yes,2026-04-22,37000000,4:08,9000000
Shows,The Lincoln Lawyer: Season 1,Yes,2022-05-13,74000000,8:19,8900000
Shows,Sullivan's Crossing: Season 2,No,,65600000,7:20,8900000
Shows,Little Angel: Volume 7,Yes,,27100000,3:03,8900000
Shows,Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,91600000,*,8800000
Shows,La Brea: Season 1,No,,63400000,7:11,8800000
Shows,Love from 9 to 5: Season 1 // Amor de oficina: Temporada 1,Yes,2026-01-01,42500000,4:51,8800000
Shows,Between Father and Son: Season 1 // Entre padre e hijo: Temporada 1,Yes,2026-05-13,24900000,2:50,8800000
Shows,Breaking Bad: Season 2,No,,89800000,10:18,8700000
Shows,Jujutsu Kaisen: Season 1 // 呪術廻戦: 第1期,No,,83100000,9:30,8700000
Shows,Sweet Magnolias: Season 5,Yes,2026-06-11,69000000,7:54,8700000
Shows,Sandokan: The Pirate Prince: Season 1,No,,67800000,7:46,8700000
Shows,Worst Ex Ever: Season 1,Yes,2024-08-28,33400000,3:50,8700000
Shows,Pinkfong Little Dino School: Season 1,Yes,,6100000,0:42,8700000
Shows,Phantom Lawyer: Season 1 // 신이랑 법률사무소: 시즌 1,No,,146800000,17:10,8600000
Shows,Sins of Kujo: Season 1 // 九条の大罪: シーズン1,Yes,2026-04-02,63900000,7:28,8600000
Shows,The Lincoln Lawyer: Season 3,Yes,2024-10-17,72500000,8:31,8500000
Shows,The Walking Dead: Season 1,No,,41600000,4:53,8500000
Shows,Bebefinn: Season 3,Yes,,22200000,2:36,8500000
Shows,Sesame Street: Volume 1,No,2025-11-10,17200000,2:02,8500000
Shows,Dynamite Kiss: Limited Series // 키스는 괜히 해서!: 리미티드 시리즈,Yes,2025-11-12,128400000,15:19,8400000
Shows,The Good Doctor: Season 3,No,,120500000,14:22,8400000
Shows,Wayward: Limited Series,Yes,2025-09-25,49600000,5:56,8400000
Shows,Barbie Life in the Dreamhouse: Season 1,Yes,,40500000,4:48,8400000
Shows,2026 World Baseball Classic: Japan vs. Australia // 2026 ワールドベースボールクラシック: 日本 対 オーストラリア,No,2026-03-08,18000000,*,8400000
Shows,Mark Rober's CrunchLabs: Season 1,Yes,,17700000,2:07,8400000
Shows,Peaky Blinders: Season 3,No,2016-05-31,47000000,5:40,8300000
Shows,UNTAMED: Season 1,Yes,2025-07-17,40500000,4:52,8300000
Shows,Stranger Things: Tales From '85: Season 1,Yes,2026-04-23,40400000,4:52,8300000
Shows,Funny AF with Kevin Hart: Auditions: New York City,No,2026-04-20,6700000,0:49,8300000
Shows,STEEL BALL RUN JoJo’s Bizarre Adventure: 1st STAGE // スティール・ボール・ラン ジョジョの奇妙な冒険: 1st STAGE,Yes,2026-03-19,6500000,0:47,8300000
Shows,Is It Cake? Valentines: Season 1,No,2026-02-04,6200000,0:45,8300000
Shows,Undercover Miss Hong: Limited Series // 언더커버 미쓰홍: 리미티드 시리즈,Yes,2026-01-17,155500000,19:16,8100000
Shows,Culinary Class Wars: Season 2 // 흑백요리사: 요리 계급 전쟁: 시즌 2,No,2025-12-16,139000000,17:07,8100000
Shows,PAW Patrol: Season 8,No,,80700000,10:00,8100000
Shows,The Cleaning Lady (2022): Season 2,No,,70300000,8:41,8100000
Shows,Outlast: The Jungle: Season 1,No,2026-06-10,58100000,7:13,8100000
Shows,The Chestnut Man // Kastanjemanden,Yes,2021-09-29,45200000,5:33,8100000
Shows,Gabby's Dollhouse: Season 2,Yes,2021-08-10,26200000,3:14,8100000
Shows,Ronda Rousey vs. Gina Carano,No,2026-05-16,19500000,*,8100000
Shows,BAKI-DOU: The Invincible Samurai: Season 1 // 刃牙道: シーズン1,Yes,2026-02-26,84800000,10:34,8000000
Shows,2026 World Baseball Classic: Japan vs. Korea // 2026 ワールドベースボールクラシック: 日本 対 韓国,No,2026-03-07,19300000,*,8000000
Shows,Bebefinn Playtime: 시즌 1,Yes,,8100000,1:01,8000000
Shows,The Middle: Season 1,No,,68300000,8:37,7900000
Shows,The Four Seasons: Season 1,Yes,2025-05-01,34100000,4:18,7900000
Shows,2026 World Baseball Classic Quarterfinals: Japan vs. Venezuela // 2026 ワールドベースボールクラシック: 準々決勝 日本 対 ベネズエラ,No,2026-03-14,22800000,*,7900000
Shows,Breaking Bad: Season 3,No,,80600000,10:17,7800000
Shows,Animal Kingdom (2016): Season 2,No,,81100000,10:28,7700000
Shows,The Staircase (2022): Season 1,No,,66800000,8:40,7700000
Shows,How To Get To Heaven From Belfast: Season 1,Yes,2026-02-12,51500000,6:43,7700000
Shows,Being Gordon Ramsay: Season 1,Yes,2026-02-18,35000000,4:32,7700000
Shows,Bebefinn: Season 2,Yes,,19200000,2:30,7700000
Shows,Booba: Season 1,Yes,,16100000,2:05,7700000
Shows,The Vampire Diaries: Season 2,No,,115000000,15:05,7600000
Shows,Wednesday: Season 1,Yes,2022-11-23,51500000,6:49,7600000
Shows,Masha and the Bear: Season 2,No,,22400000,2:58,7600000
Shows,Million Dollar Secret: Season 2,No,2026-04-15,58200000,7:46,7500000
Shows,Southland: Season 1,No,,37300000,5:00,7500000
Shows,Younger: Season 2,No,,31600000,4:14,7500000
Shows,Alpha Males: Season 5 // Machos alfa: Temporada 5,Yes,2026-04-17,26000000,3:28,7500000
Shows,The Creature Cases: Chapter 2,Yes,2022-11-30,3500000,0:28,7500000
Shows,Everwood: Season 1,No,,124800000,16:57,7400000
Shows,No Tail to Tell: Limited Series // 오늘부터 인간입니다만: 리미티드 시리즈,Yes,2026-01-16,90900000,12:17,7400000
Shows,Henry Danger: Season 1,No,,72700000,9:50,7400000
Shows,Falling Skies: Season 1,No,,51300000,6:55,7400000
Shows,Peaky Blinders: Season 4,No,2017-12-20,42400000,5:47,7300000
Shows,Younger: Season 7,No,,41500000,5:41,7300000
Shows,Younger: Season 6,No,,36100000,4:56,7300000
Shows,Baby Shark Hospital Play: Season 1,Yes,,17400000,2:23,7300000
Shows,The Mentalist (2008): Season 2,No,,119000000,16:25,7200000
Shows,Breaking Bad: Season 4,No,,73200000,10:14,7200000
Shows,Victorious: Season 1,No,,56600000,7:53,7200000
Shows,Younger: Season 4,No,,34300000,4:46,7200000
Shows,Younger: Season 3,No,,32200000,4:29,7200000
Shows,Little Angel: Volume 1,Yes,,26800000,3:44,7200000
Shows,"Instadocs: Alex Murdaugh, Unconvicted",Yes,2026-05-30,3600000,0:30,7200000
Shows,Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada,No,,3600000,0:30,7200000
Shows,The Rookie: Season 7,No,,91500000,12:52,7100000
Shows,The Thundermans: Season 1,No,,53500000,7:34,7100000
Shows,The Abandons: Season 1,Yes,2025-12-04,36000000,5:05,7100000
Shows,The Creature Cases: Chapter 3,Yes,2023-05-22,23800000,3:20,7100000
Shows,Bad Dinosaurs: Season 1,Yes,2024-03-28,20000000,2:50,7100000
Shows,Trolls Holiday Special,Yes,,3200000,0:27,7100000
Shows,The Lincoln Lawyer: Season 2,Yes,2023-07-06,57500000,8:11,7000000
Shows,Envious: Season 4 // Envidiosa: Temporada 4,Yes,2026-04-29,30900000,4:23,7000000
Shows,The Vampire Diaries: Season 3,No,,104900000,15:06,6900000
Shows,Animal Kingdom (2016): Season 3,No,,67100000,9:43,6900000
Shows,The Amazing World of Gumball: Season 2,No,,51400000,7:30,6900000
Shows,Sullivan's Crossing: Season 3,No,,50700000,7:20,6900000
Shows,Heartbreak High: Season 3,Yes,2026-03-25,43500000,6:19,6900000
Shows,The Law According to Lidia Poët: Season 3 // La legge di Lidia Poët: Stagione 3,Yes,2026-04-15,35300000,5:09,6900000
Shows,Younger: Season 5,No,,34100000,4:55,6900000
Shows,Masha and the Bear: Season 3,No,,24500000,3:33,6900000
Shows,The Good Doctor: Season 4,No,,98600000,14:26,6800000
Shows,Brooklyn Nine-Nine: Season 5,Yes,,54800000,8:01,6800000
Shows,Money Heist: Part 2 // La casa de papel: Parte 2,Yes,2017-11-30,46800000,*,6800000
Shows,Peaky Blinders: Season 5,No,2019-10-04,39300000,5:48,6800000
Shows,Dynasty: The Murdochs: Season 1,Yes,2026-03-13,22900000,3:23,6800000
Shows,Gabby's Dollhouse: Season 3,Yes,2021-10-19,19200000,2:50,6800000
Shows,2026 World Baseball Classic: Japan vs. Czechia // 2026 ワールドベースボールクラシック: 日本 対 チェコ,No,2026-03-10,15000000,*,6800000
Shows,Bebefinn: Season 4,Yes,,7300000,1:04,6800000
Shows,Teen Titans Go!: Season 5,No,,61100000,9:07,6700000
Shows,Jujutsu Kaisen: Season 2 // 呪術廻戦: 第2期 懐玉・玉折／渋谷事変,No,,61000000,9:08,6700000
Shows,Temptation Island: Season 2,No,2026-04-10,58300000,8:43,6700000
Shows,At Home With The Furys: Season 2,No,2026-04-12,40000000,6:00,6700000
Shows,Adolescence: Limited Series,Yes,2025-03-13,25800000,3:50,6700000
Shows,Rick and Morty: Season 7,No,,25100000,3:45,6700000
Shows,La Palma: Limited Series,Yes,2024-12-12,20700000,3:04,6700000
Shows,True Beauty: Limited Series // 여신강림: 리미티드 시리즈,No,,132200000,20:01,6600000
Shows,"Bon Appétit, Your Majesty: Limited Series // 폭군의 셰프: 리미티드 시리즈",Yes,2025-08-23,102800000,15:41,6600000
Shows,Suits (2011): Season 2,No,,76100000,11:30,6600000
Shows,Sonic Prime: Season 1,Yes,2022-12-15,24500000,3:43,6600000
Shows,Mike Epps: Delusional,No,2026-01-27,6600000,1:00,6600000
Shows,Lottie Dottie Chicken: 2ª temporada // Galinha Pintadinha: 2ª temporada,No,,4700000,0:43,6600000
Shows,Breaking Bad: Season 5,No,,83100000,12:50,6500000
Shows,The Cleaning Lady (2022): Season 3,No,,56500000,8:41,6500000
Shows,Fool Me Once: Limited Series,Yes,2024-01-01,42000000,6:25,6500000
Shows,Peaky Blinders: Season 6,No,2022-06-10,40500000,6:12,6500000
Shows,Weak Hero: Class 2 // 약한영웅: Class 2,Yes,2025-04-25,37500000,5:46,6500000
Shows,Hot Wheels Let's Race: Season 1,Yes,2024-03-04,26400000,4:02,6500000
Shows,Funny AF with Kevin Hart: Auditions: Los Angeles,No,2026-04-20,6000000,0:55,6500000
Shows,The Rookie: Season 1,No,,91300000,14:14,6400000
Shows,The Price of Confession: Season 1 // 자백의 대가: 시즌 1,Yes,2025-12-05,66200000,10:22,6400000
Shows,PAW Patrol: Season 7,No,,64100000,10:03,6400000
Shows,Animal Kingdom (2016): Season 4,No,,62600000,9:45,6400000
Shows,Lucifer: Season 1,No,2017-07-23,60000000,9:26,6400000
Shows,Perfect Match: Season 4,No,2026-05-13,55100000,8:35,6400000
Shows,Absentia: Season 2,Yes,,46200000,7:11,6400000
Shows,Henry Danger: Season 2,No,,46200000,7:16,6400000
Shows,Money Heist: Part 3 // La casa de papel: Parte 3,Yes,2019-07-19,41800000,6:30,6400000
Shows,Gangs of Galicia: Season 2 // Clanes: Temporada 2,Yes,2026-04-03,30300000,4:43,6400000
Shows,Ricky Gervais: Mortality,No,2025-12-30,6300000,0:59,6400000
Shows,Person of Interest: Season 2,No,,100400000,16:03,6300000
Shows,SpongeBob SquarePants: Season 9,No,,64400000,10:10,6300000
Shows,Henry Danger: Season 3,No,,47700000,7:36,6300000
Shows,Vikings (2013): Season 1,Yes,,42800000,6:48,6300000
Shows,Brooklyn Nine-Nine: Season 6,Yes,,40900000,6:31,6300000
Shows,Booba: Season 4,Yes,,19000000,3:02,6300000
Shows,2026 World Baseball Classic: Chinese Taipei vs. Japan // 2026 ワールドベースボールクラシック: チャイニーズ・タイペイ 対 日本,No,2026-03-06,13900000,*,6300000
Shows,The Walking Dead: Season 2,No,,60000000,9:39,6200000
Shows,"To Love, To Lose: Season 1 // Ayrılık da Sevdaya Dahil: 1. Sezon",Yes,2026-01-15,43900000,7:04,6200000
Shows,Boots: Season 1,Yes,2025-10-09,36300000,5:51,6200000
Shows,Victorious: Season 2,No,,31600000,*,6200000
Shows,Henry Danger: Season 5,No,,91500000,15:05,6100000
Shows,Sam & Cat: Season 1,No,,82600000,13:33,6100000
Shows,2 Broke Girls (2011): Season 1,No,,52700000,8:35,6100000
Shows,Brooklyn Nine-Nine: Season 3,Yes,,50000000,8:15,6100000
Shows,"Thank You, Next: Season 3 // Kimler Geldi Kimler Geçti: 3. Sezon",Yes,2026-05-08,30000000,4:57,6100000
Shows,Motorvalley: Season 1,Yes,2026-02-10,28300000,4:39,6100000
Shows,The Creature Cases: Chapter 6,Yes,2025-12-15,16900000,2:45,6100000
Shows,The Vampire Diaries: Season 4,No,,95500000,15:52,6000000
Shows,The Handmaid's Tale: Season 2,No,,72200000,12:06,6000000
Shows,Homeland: Season 1,No,,65200000,10:57,6000000
Shows,Animal Kingdom (2016): Season 5,No,,58500000,9:44,6000000
Shows,The Rookie: Season 6,No,,42800000,7:09,6000000
Shows,Brooklyn Nine-Nine: Season 7,Yes,,28000000,4:42,6000000
Shows,"Made with Love: Season 1 // Luka, Makan, Cinta: Season 1",Yes,2026-04-15,28000000,4:39,6000000
Shows,Play and Discover With José Totoy // José Totoy 3,No,,4500000,0:45,6000000
Shows,Lottie Dottie Chicken: 5ª temporada // Galinha Pintadinha: 5ª temporada,No,,3500000,0:35,6000000
Shows,Lottie Dottie Chicken: 3ª temporada // Galinha Pintadinha: 3ª temporada,No,,3400000,0:34,6000000
Shows,Bebefinn Dance Time: Season 1 // 베베핀 댄스타임: 시즌 1,Yes,,2100000,0:21,6000000
Shows,The Queen of Flow: Season 3 // La reina del flow: Temporada 3,No,2026-01-14,299500000,51:02,5900000
Shows,PAW Patrol: Season 2,No,,58500000,9:54,5900000
Shows,Shameless (U.S.): Season 1,No,,58500000,9:55,5900000
Shows,The Thundermans: Season 3,No,,57600000,9:47,5900000
Shows,Teen Titans Go!: Season 1,No,,56100000,9:26,5900000
Shows,Emily in Paris: Season 4,Yes,2024-08-15,35400000,5:57,5900000
Shows,Fatal Seduction: Season 3,Yes,2026-03-13,33300000,5:41,5900000
Shows,A Good Girl's Guide to Murder: Season 2,No,2026-05-27,28200000,4:46,5900000
Shows,Gabby's Dollhouse: Season 4,Yes,2022-02-01,19100000,3:14,5900000
Shows,The Mentalist (2008): Season 3,No,,99400000,*,5800000
Shows,All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,70400000,12:14,5800000
