zip,state,district,district_name,state_district_code,land_area_m2,primary_district,dma_code,dma_name,dma_match_type
736,PR,98,Resident Commissioner District (at Large),PR-98,142190601,TRUE,,,none
738,PR,98,Resident Commissioner District (at Large),PR-98,76709539,TRUE,,,none
739,PR,98,Resident Commissioner District (at Large),PR-98,79702683,TRUE,,,none
740,PR,98,Resident Commissioner District (at Large),PR-98,1081390,TRUE,,,none
741,PR,98,Resident Commissioner District (at Large),PR-98,5896296,TRUE,,,none
745,PR,98,Resident Commissioner District (at Large),PR-98,157334018,TRUE,,,none
751,PR,98,Resident Commissioner District (at Large),PR-98,157294693,TRUE,,,none
754,PR,98,Resident Commissioner District (at Large),PR-98,129481143,TRUE,,,none
757,PR,98,Resident Commissioner District (at Large),PR-98,84003578,TRUE,,,none
765,PR,98,Resident Commissioner District (at Large),PR-98,122392233,TRUE,,,none
766,PR,98,Resident Commissioner District (at Large),PR-98,98877455,TRUE,,,none
767,PR,98,Resident Commissioner District (at Large),PR-98,142912280,TRUE,,,none
769,PR,98,Resident Commissioner District (at Large),PR-98,199632610,TRUE,,,none
771,PR,98,Resident Commissioner District (at Large),PR-98,87025383,TRUE,,,none
772,PR,98,Resident Commissioner District (at Large),PR-98,42328585,TRUE,,,none
773,PR,98,Resident Commissioner District (at Large),PR-98,62418898,TRUE,,,none
775,PR,98,Resident Commissioner District (at Large),PR-98,30161189,TRUE,,,none
777,PR,98,Resident Commissioner District (at Large),PR-98,69550601,TRUE,,,none
778,PR,98,Resident Commissioner District (at Large),PR-98,76464609,TRUE,,,none
780,PR,98,Resident Commissioner District (at Large),PR-98,49555814,TRUE,,,none
782,PR,98,Resident Commissioner District (at Large),PR-98,72466122,TRUE,,,none
783,PR,98,Resident Commissioner District (at Large),PR-98,109068641,TRUE,,,none
784,PR,98,Resident Commissioner District (at Large),PR-98,172858135,TRUE,,,none
786,PR,98,Resident Commissioner District (at Large),PR-98,4568280,TRUE,,,none
791,PR,98,Resident Commissioner District (at Large),PR-98,110424275,TRUE,,,none
794,PR,98,Resident Commissioner District (at Large),PR-98,88884810,TRUE,,,none
795,PR,98,Resident Commissioner District (at Large),PR-98,154715929,TRUE,,,none
802,VI,98,Delegate District (at Large),VI-98,77269356,TRUE,,,none
820,VI,98,Delegate District (at Large),VI-98,111685261,TRUE,,,none
830,VI,98,Delegate District (at Large),VI-98,50211282,TRUE,,,none
840,VI,98,Delegate District (at Large),VI-98,80276060,TRUE,,,none
850,VI,98,Delegate District (at Large),VI-98,22223184,TRUE,,,none
851,VI,98,Delegate District (at Large),VI-98,961179,TRUE,,,none
901,PR,98,Resident Commissioner District (at Large),PR-98,2628102,TRUE,,,none
906,PR,98,Resident Commissioner District (at Large),PR-98,8247,TRUE,,,none
907,PR,98,Resident Commissioner District (at Large),PR-98,5291703,TRUE,,,none
909,PR,98,Resident Commissioner District (at Large),PR-98,1690949,TRUE,,,none
911,PR,98,Resident Commissioner District (at Large),PR-98,1232506,TRUE,,,none
912,PR,98,Resident Commissioner District (at Large),PR-98,960485,TRUE,,,none
913,PR,98,Resident Commissioner District (at Large),PR-98,839091,TRUE,,,none
915,PR,98,Resident Commissioner District (at Large),PR-98,3630529,TRUE,,,none
917,PR,98,Resident Commissioner District (at Large),PR-98,3536052,TRUE,,,none
918,PR,98,Resident Commissioner District (at Large),PR-98,6987285,TRUE,,,none
920,PR,98,Resident Commissioner District (at Large),PR-98,9348956,TRUE,,,none
921,PR,98,Resident Commissioner District (at Large),PR-98,7948284,TRUE,,,none
923,PR,98,Resident Commissioner District (at Large),PR-98,5205883,TRUE,,,none
924,PR,98,Resident Commissioner District (at Large),PR-98,12077756,TRUE,,,none
925,PR,98,Resident Commissioner District (at Large),PR-98,1154387,TRUE,,,none
926,PR,98,Resident Commissioner District (at Large),PR-98,60121390,TRUE,,,none
927,PR,98,Resident Commissioner District (at Large),PR-98,6275250,TRUE,,,none
934,PR,98,Resident Commissioner District (at Large),PR-98,3673926,TRUE,,,none
949,PR,98,Resident Commissioner District (at Large),PR-98,53302864,TRUE,,,none
950,PR,98,Resident Commissioner District (at Large),PR-98,6898692,TRUE,,,none
951,PR,98,Resident Commissioner District (at Large),PR-98,2774243,TRUE,,,none
952,PR,98,Resident Commissioner District (at Large),PR-98,5742602,TRUE,,,none
953,PR,98,Resident Commissioner District (at Large),PR-98,69121743,TRUE,,,none
956,PR,98,Resident Commissioner District (at Large),PR-98,71019565,TRUE,,,none
957,PR,98,Resident Commissioner District (at Large),PR-98,11243014,TRUE,,,none
959,PR,98,Resident Commissioner District (at Large),PR-98,15781121,TRUE,,,none
960,PR,98,Resident Commissioner District (at Large),PR-98,3632363,TRUE,,,none
961,PR,98,Resident Commissioner District (at Large),PR-98,13812664,TRUE,,,none
962,PR,98,Resident Commissioner District (at Large),PR-98,12473681,TRUE,,,none
965,PR,98,Resident Commissioner District (at Large),PR-98,2344448,TRUE,,,none
966,PR,98,Resident Commissioner District (at Large),PR-98,6527024,TRUE,,,none
968,PR,98,Resident Commissioner District (at Large),PR-98,1180790,TRUE,,,none
969,PR,98,Resident Commissioner District (at Large),PR-98,13048560,TRUE,,,none
971,PR,98,Resident Commissioner District (at Large),PR-98,41507228,TRUE,,,none
976,PR,98,Resident Commissioner District (at Large),PR-98,45157260,TRUE,,,none
979,PR,98,Resident Commissioner District (at Large),PR-98,10071322,TRUE,,,none
982,PR,98,Resident Commissioner District (at Large),PR-98,3736529,TRUE,,,none
983,PR,98,Resident Commissioner District (at Large),PR-98,11192161,TRUE,,,none
985,PR,98,Resident Commissioner District (at Large),PR-98,23917841,TRUE,,,none
987,PR,98,Resident Commissioner District (at Large),PR-98,67158116,TRUE,,,none
1001,MA,1,Congressional District 1,MA-01,29247431,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1002,MA,2,Congressional District 2,MA-02,137931897,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1003,MA,2,Congressional District 2,MA-02,2082670,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1005,MA,2,Congressional District 2,MA-02,111859191,TRUE,506,BOSTON (MANCHESTER),exact
1007,MA,1,Congressional District 1,MA-01,136237871,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1007,MA,2,Congressional District 2,MA-02,5873241,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1008,MA,1,Congressional District 1,MA-01,158470969,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1009,MA,1,Congressional District 1,MA-01,1806483,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1010,MA,1,Congressional District 1,MA-01,91236290,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1011,MA,1,Congressional District 1,MA-01,84938967,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1012,MA,2,Congressional District 2,MA-02,31252640,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1013,MA,1,Congressional District 1,MA-01,14659172,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1020,MA,1,Congressional District 1,MA-01,32273636,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1022,MA,1,Congressional District 1,MA-01,12468872,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1026,MA,1,Congressional District 1,MA-01,70008820,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1026,MA,2,Congressional District 2,MA-02,2645927,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1027,MA,2,Congressional District 2,MA-02,70615166,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1027,MA,1,Congressional District 1,MA-01,34501970,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1028,MA,1,Congressional District 1,MA-01,33466105,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1029,MA,1,Congressional District 1,MA-01,25823458,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1030,MA,1,Congressional District 1,MA-01,31155981,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1031,MA,2,Congressional District 2,MA-02,17437835,TRUE,506,BOSTON (MANCHESTER),exact
1032,MA,2,Congressional District 2,MA-02,24991855,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1033,MA,1,Congressional District 1,MA-01,72025733,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1034,MA,1,Congressional District 1,MA-01,175466654,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1035,MA,2,Congressional District 2,MA-02,59786660,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1036,MA,1,Congressional District 1,MA-01,50791584,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1037,MA,2,Congressional District 2,MA-02,48111810,TRUE,506,BOSTON (MANCHESTER),exact
1038,MA,2,Congressional District 2,MA-02,23888136,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1039,MA,2,Congressional District 2,MA-02,42712270,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1040,MA,1,Congressional District 1,MA-01,54816657,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1050,MA,1,Congressional District 1,MA-01,107144430,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1053,MA,2,Congressional District 2,MA-02,14893903,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1054,MA,2,Congressional District 2,MA-02,59390376,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1056,MA,1,Congressional District 1,MA-01,70436242,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1057,MA,1,Congressional District 1,MA-01,115364745,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1060,MA,2,Congressional District 2,MA-02,28147405,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1062,MA,2,Congressional District 2,MA-02,45199186,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1063,MA,2,Congressional District 2,MA-02,228872,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1066,MA,2,Congressional District 2,MA-02,3267653,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1068,MA,2,Congressional District 2,MA-02,56254821,TRUE,506,BOSTON (MANCHESTER),exact
1069,MA,1,Congressional District 1,MA-01,72670135,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1070,MA,1,Congressional District 1,MA-01,51384243,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1071,MA,1,Congressional District 1,MA-01,40656364,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1072,MA,2,Congressional District 2,MA-02,49451048,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1073,MA,1,Congressional District 1,MA-01,72918526,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1074,MA,2,Congressional District 2,MA-02,671655,TRUE,506,BOSTON (MANCHESTER),exact
1075,MA,1,Congressional District 1,MA-01,45899614,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1077,MA,1,Congressional District 1,MA-01,79912788,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1079,MA,1,Congressional District 1,MA-01,4163329,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1080,MA,1,Congressional District 1,MA-01,4313061,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1081,MA,1,Congressional District 1,MA-01,37485117,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1082,MA,1,Congressional District 1,MA-01,89187520,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1082,MA,2,Congressional District 2,MA-02,32565686,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1083,MA,1,Congressional District 1,MA-01,33041299,TRUE,506,BOSTON (MANCHESTER),exact
1084,MA,2,Congressional District 2,MA-02,21578079,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1085,MA,1,Congressional District 1,MA-01,154690428,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1088,MA,2,Congressional District 2,MA-02,13607010,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1089,MA,1,Congressional District 1,MA-01,43331574,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1092,MA,1,Congressional District 1,MA-01,17407745,TRUE,506,BOSTON (MANCHESTER),exact
1093,MA,2,Congressional District 2,MA-02,11172806,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1094,MA,2,Congressional District 2,MA-02,1863981,TRUE,506,BOSTON (MANCHESTER),exact
1095,MA,1,Congressional District 1,MA-01,58246826,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1096,MA,2,Congressional District 2,MA-02,92937599,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1097,MA,1,Congressional District 1,MA-01,4507443,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1098,MA,1,Congressional District 1,MA-01,82583451,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1103,MA,1,Congressional District 1,MA-01,1126124,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1104,MA,1,Congressional District 1,MA-01,13551122,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1105,MA,1,Congressional District 1,MA-01,3123274,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1106,MA,1,Congressional District 1,MA-01,24826538,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1107,MA,1,Congressional District 1,MA-01,3994637,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1108,MA,1,Congressional District 1,MA-01,8912392,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1109,MA,1,Congressional District 1,MA-01,14092648,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1118,MA,1,Congressional District 1,MA-01,9312986,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1119,MA,1,Congressional District 1,MA-01,9144298,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1128,MA,1,Congressional District 1,MA-01,2872228,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1129,MA,1,Congressional District 1,MA-01,8899440,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1144,MA,1,Congressional District 1,MA-01,55751,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1151,MA,1,Congressional District 1,MA-01,6135002,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1201,MA,1,Congressional District 1,MA-01,156363181,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1220,MA,1,Congressional District 1,MA-01,59281213,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1222,MA,1,Congressional District 1,MA-01,11893143,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1223,MA,1,Congressional District 1,MA-01,180116091,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1224,MA,1,Congressional District 1,MA-01,1205360,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1225,MA,1,Congressional District 1,MA-01,69442567,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1226,MA,1,Congressional District 1,MA-01,56356197,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1229,MA,1,Congressional District 1,MA-01,6430276,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1230,MA,1,Congressional District 1,MA-01,251172611,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1235,MA,1,Congressional District 1,MA-01,120852203,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1236,MA,1,Congressional District 1,MA-01,17135580,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1237,MA,1,Congressional District 1,MA-01,127711825,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1238,MA,1,Congressional District 1,MA-01,71489759,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1240,MA,1,Congressional District 1,MA-01,61935523,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1242,MA,1,Congressional District 1,MA-01,1189984,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1243,MA,1,Congressional District 1,MA-01,37002724,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1244,MA,1,Congressional District 1,MA-01,14918139,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1245,MA,1,Congressional District 1,MA-01,66996474,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1247,MA,1,Congressional District 1,MA-01,118920150,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1253,MA,1,Congressional District 1,MA-01,54941670,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1254,MA,1,Congressional District 1,MA-01,37459820,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1255,MA,1,Congressional District 1,MA-01,130851821,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1256,MA,1,Congressional District 1,MA-01,92861024,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1257,MA,1,Congressional District 1,MA-01,87792482,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1258,MA,1,Congressional District 1,MA-01,57628910,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1259,MA,1,Congressional District 1,MA-01,59376360,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1260,MA,1,Congressional District 1,MA-01,6700593,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1262,MA,1,Congressional District 1,MA-01,51163319,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1264,MA,1,Congressional District 1,MA-01,37654422,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1266,MA,1,Congressional District 1,MA-01,52343841,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1267,MA,1,Congressional District 1,MA-01,153603813,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1270,MA,1,Congressional District 1,MA-01,83527583,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1301,MA,2,Congressional District 2,MA-02,65652497,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1330,MA,2,Congressional District 2,MA-02,89285520,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1331,MA,2,Congressional District 2,MA-02,140280128,TRUE,506,BOSTON (MANCHESTER),exact
1337,MA,2,Congressional District 2,MA-02,96844938,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1338,MA,2,Congressional District 2,MA-02,3392289,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1339,MA,1,Congressional District 1,MA-01,130572933,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1339,MA,2,Congressional District 2,MA-02,20571118,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1340,MA,2,Congressional District 2,MA-02,134766155,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1341,MA,2,Congressional District 2,MA-02,86923693,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1342,MA,2,Congressional District 2,MA-02,47687876,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1343,MA,1,Congressional District 1,MA-01,29742148,TRUE,532,ALBANY - SCHENECTADY - TROY,exact
1344,MA,2,Congressional District 2,MA-02,35723125,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1346,MA,2,Congressional District 2,MA-02,34646508,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1347,MA,2,Congressional District 2,MA-02,925273,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1349,MA,2,Congressional District 2,MA-02,25562209,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1350,MA,1,Congressional District 1,MA-01,27679919,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1351,MA,2,Congressional District 2,MA-02,50744988,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1354,MA,2,Congressional District 2,MA-02,35610471,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1355,MA,2,Congressional District 2,MA-02,123023383,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1360,MA,2,Congressional District 2,MA-02,88863583,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1364,MA,2,Congressional District 2,MA-02,93229586,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1366,MA,2,Congressional District 2,MA-02,95665864,TRUE,506,BOSTON (MANCHESTER),exact
1367,MA,1,Congressional District 1,MA-01,62449372,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1367,MA,2,Congressional District 2,MA-02,1191398,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1368,MA,2,Congressional District 2,MA-02,114793112,TRUE,506,BOSTON (MANCHESTER),exact
1370,MA,2,Congressional District 2,MA-02,110168242,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1370,MA,1,Congressional District 1,MA-01,14635107,FALSE,543,SPRINGFIELD - HOLYOKE,exact
1373,MA,2,Congressional District 2,MA-02,59737137,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1375,MA,2,Congressional District 2,MA-02,36466974,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1376,MA,2,Congressional District 2,MA-02,10563996,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1378,MA,2,Congressional District 2,MA-02,96733119,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1379,MA,2,Congressional District 2,MA-02,55888081,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1380,MA,2,Congressional District 2,MA-02,16828338,TRUE,543,SPRINGFIELD - HOLYOKE,exact
1420,MA,3,Congressional District 3,MA-03,71468187,TRUE,506,BOSTON (MANCHESTER),exact
1420,MA,2,Congressional District 2,MA-02,6382072,FALSE,506,BOSTON (MANCHESTER),exact
1430,MA,3,Congressional District 3,MA-03,95158593,TRUE,506,BOSTON (MANCHESTER),exact
1431,MA,3,Congressional District 3,MA-03,61289600,TRUE,506,BOSTON (MANCHESTER),exact
1432,MA,3,Congressional District 3,MA-03,22065776,TRUE,506,BOSTON (MANCHESTER),exact
1434,MA,3,Congressional District 3,MA-03,16865360,TRUE,506,BOSTON (MANCHESTER),exact
1436,MA,2,Congressional District 2,MA-02,23274028,TRUE,506,BOSTON (MANCHESTER),exact
1436,MA,3,Congressional District 3,MA-03,16510,FALSE,506,BOSTON (MANCHESTER),exact
1438,MA,2,Congressional District 2,MA-02,841004,TRUE,506,BOSTON (MANCHESTER),exact
1440,MA,3,Congressional District 3,MA-03,61898379,TRUE,506,BOSTON (MANCHESTER),exact
1440,MA,2,Congressional District 2,MA-02,1576290,FALSE,506,BOSTON (MANCHESTER),exact
1450,MA,3,Congressional District 3,MA-03,84871359,TRUE,506,BOSTON (MANCHESTER),exact
1451,MA,3,Congressional District 3,MA-03,54510950,TRUE,506,BOSTON (MANCHESTER),exact
1452,MA,2,Congressional District 2,MA-02,106330883,TRUE,506,BOSTON (MANCHESTER),exact
1453,MA,2,Congressional District 2,MA-02,68269233,TRUE,506,BOSTON (MANCHESTER),exact
1460,MA,3,Congressional District 3,MA-03,42775107,TRUE,506,BOSTON (MANCHESTER),exact
1462,MA,3,Congressional District 3,MA-03,68941180,TRUE,506,BOSTON (MANCHESTER),exact
1463,MA,3,Congressional District 3,MA-03,58476658,TRUE,506,BOSTON (MANCHESTER),exact
1464,MA,3,Congressional District 3,MA-03,39182808,TRUE,506,BOSTON (MANCHESTER),exact
